dataset,x,y
set_06,28.03760277,26.80382436
set_06,31.68957613,26.66640021
set_06,27.27961285,19.25728097
set_06,31.22187836,26.44085578
set_06,33.5458051,20.0807081
set_06,39.73633061,23.49480698
set_06,42.84184265,20.33390044
set_06,47.09372989,26.99347063
set_06,51.45365835,26.02294175
set_06,49.36770682,22.0055807
set_06,48.25348097,29.27085553
set_06,61.00295976,30.01531443
set_06,60.8065608,27.86831349
set_06,59.06742702,26.78828402
set_06,61.41463372,31.03937506
set_06,68.93436947,31.61989309
set_06,63.06524386,34.23574659
set_06,72.27252287,67.64444379
set_06,75.35988197,75.42161458
set_06,72.83362587,72.11469381
set_06,70.81041484,79.35046183
set_06,45.80193476,81.65826775
set_06,45.83502017,82.74259199
set_06,40.07880645,80.24718526
set_06,51.9829247,82.20438347
set_06,57.33790605,84.99951887
set_06,62.33623276,83.2465679
set_06,58.50591009,81.74558634
set_06,56.24793514,83.51394949
set_06,55.40652083,80.26667197
set_06,53.28396884,84.26359922
set_06,44.67676155,80.23828555
set_06,30.01126425,68.14675637
set_06,29.74525392,74.40452683
set_06,37.30994835,72.5861552
set_06,61.13594691,82.53756936
set_06,61.72061919,85.70569345
set_06,63.60937986,83.36002884
set_06,70.72371623,87.15220752
set_06,75.00639264,82.42583516
set_06,75.09254978,83.43739071
set_06,70.32792918,82.0293547
set_06,70.86333083,79.40817475
set_06,75.77990482,79.88619942
set_06,78.09365907,77.75955818
set_06,76.74576122,71.97336009
set_06,78.46460344,69.74930082
set_06,76.74568485,70.04405726
set_06,85.16168219,65.51240471
set_06,91.80835257,34.96559448
set_06,91.88744859,34.76925386
set_06,92.24840166,32.37715443
set_06,91.78253274,34.38429465
set_06,96.08051937,28.0536005
set_06,92.24789883,28.07075149
set_06,57.66227662,24.06060793
set_06,59.84692489,26.17771249
set_06,64.06709621,27.77650056
set_06,60.9815014,23.93429816
set_06,59.96705791,26.80258322
set_06,62.70745411,21.99550858
set_06,69.1952352,22.70979217
set_06,65.59236265,20.6941731
set_06,64.61709853,22.44314555
set_06,59.19115913,17.76790181
set_06,55.83963137,21.61856967
set_06,59.00075862,21.17100749
set_06,56.45937113,25.14456421
set_06,52.35810536,19.41705412
set_06,51.81166378,17.0334946
set_06,54.22284562,19.50366554
set_06,49.0187554,23.48927402
set_06,35.6535812,17.51450806
set_06,46.96578576,16.78920162
set_06,49.58423926,16.75791601
set_06,51.85629997,21.96908401
set_06,55.95288863,16.7897576
set_06,51.66378626,19.9251252
set_06,45.85966932,17.12890368
set_06,39.74037952,18.74105141
set_06,52.81122164,17.85498812
set_06,56.78910436,17.30611552
set_06,54.11453178,17.67353439
set_06,55.57111973,17.36957458
set_06,65.3064625,18.19735483
set_06,66.99074915,17.22287065
set_06,72.15671894,16.81427479
set_06,70.9805804,17.15575228
set_06,72.22208221,19.3692817
set_06,79.70015835,20.74021837
set_06,64.24916065,14.91396246
set_06,66.94329143,20.1891325
set_06,66.94167666,18.24350939
set_06,39.64826665,22.73136637
set_06,37.94978369,26.52174923
set_06,86.50439056,34.89402529
set_06,50.81548536,78.95083881
set_06,51.18346666,85.12885465
set_06,40.86385523,82.9261453
set_07,51.14791671,90.86741233
set_07,50.51712581,89.10239459
set_07,50.2074802,85.4600474
set_07,50.06948192,83.05766953
set_07,50.56284634,82.93782178
set_07,50.2885278,82.97525357
set_07,25.58347508,82.91489113
set_07,25.48358339,82.92908498
set_07,25.4435257,82.8742005
set_07,25.56511342,82.92409777
set_07,25.92884427,82.82118411
set_07,27.55147826,51.48738653
set_07,27.53046637,51.41484656
set_07,27.09557036,52.07679944
set_07,27.43924961,51.71207905
set_07,27.87826426,50.70890793
set_07,27.33886892,51.65304675
set_07,27.67840297,51.18198917
set_07,52.63565768,51.41855226
set_07,52.02521411,52.12301105
set_07,52.88116479,50.62155476
set_07,52.95260731,50.07473901
set_07,52.52055249,51.5024421
set_07,52.34282206,51.86195209
set_07,51.92759021,52.25779061
set_07,52.71377449,51.19794432
set_07,50.44380279,82.94182882
set_07,50.21669503,83.75234297
set_07,52.18418011,51.97525067
set_07,52.79209735,51.07339565
set_07,52.58971986,51.3380902
set_07,52.02884867,52.1768375
set_07,52.72924658,51.20176505
set_07,52.88431329,50.44143545
set_07,52.50930089,51.41620515
set_07,50.86268433,17.14563109
set_07,50.89149225,17.14132373
set_07,25.8551276,17.08190869
set_07,26.02564455,16.92501353
set_07,27.89317272,50.66196341
set_07,27.63996794,51.39909748
set_07,27.8926589,50.79528152
set_07,52.79773294,50.68603709
set_07,27.58063881,51.52476126
set_07,26.49139853,17.40539097
set_07,25.98531782,17.20372213
set_07,26.20141928,17.09382391
set_07,25.85756947,17.11384266
set_07,50.70468436,17.02374454
set_07,50.81197535,17.11492526
set_07,50.56484556,17.07777732
set_07,50.93930391,16.98102188
set_07,50.45885484,17.03857897
set_07,52.90136407,50.69056272
set_07,52.68495344,51.29446922
set_07,52.50008894,51.59435617
set_07,51.83563726,52.33576553
set_07,76.9954121,52.04552865
set_07,77.31060048,51.74673004
set_07,77.92604434,50.31866042
set_07,77.25438834,51.46182482
set_07,76.2431578,52.12368985
set_07,77.08448437,51.9671367
set_07,75.2280532,82.98566202
set_07,50.65835477,83.11447934
set_07,50.20336581,82.98265686
set_07,50.9295477,82.84604113
set_07,50.17867185,83.18462233
set_07,50.42269806,82.90990147
set_07,50.46422483,82.93532841
set_07,50.44927033,83.96992038
set_07,49.92838028,82.99366549
set_07,50.48801364,83.09951912
set_07,49.96490538,83.7083177
set_07,50.75210826,82.9019501
set_07,27.42242921,51.43887623
set_07,27.6740834,51.30411215
set_07,27.53739532,51.59365408
set_07,52.26334738,94.24932783
set_07,51.73728166,92.97911753
set_07,75.87096369,88.38644174
set_07,75.24432621,83.90349738
set_07,75.19829529,83.46230334
set_07,75.70104153,82.91945886
set_07,75.47933966,82.88405139
set_07,75.19456687,82.93211578
set_07,74.82025396,82.96238879
set_07,75.16434049,83.03499717
set_07,75.26335555,82.9452793
set_07,77.75641893,51.15177033
set_07,77.95443505,50.47557897
set_07,77.08333777,52.15779927
set_07,76.06355025,52.10465206
set_07,77.68201632,51.16563781
set_07,76.87808198,51.8675623
set_07,76.94850272,51.90751654
set_07,77.86405471,49.66254553
set_07,75.77145009,17.11125121
set_07,52.33156913,51.87886035
set_07,52.59281837,51.39159152
set_07,50.47704772,17.04828941
set_07,75.29647509,17.01565319
set_07,75.57395413,17.06219214
set_07,75.40052716,17.04110689
set_07,75.87099084,17.13489391
set_07,75.60588476,17.06772306
set_07,75.89557705,17.16994971
set_07,75.7465632,17.10571651
set_07,75.14234148,16.75492389
set_07,50.66177956,17.07814052
set_07,50.69985064,17.08518438
set_07,50.91894087,17.14760476
set_07,50.72525854,16.90746981
set_07,51.26387123,17.16234971
set_07,51.25091965,17.24045586
set_07,50.78515721,17.18019648
set_07,50.50139658,17.10577072
set_07,50.73367454,16.99296341
set_07,50.71137854,17.08831585
set_07,50.8127449,16.57271805
set_07,51.01423296,17.22109553
set_07,50.35352141,17.06474308
set_07,50.43552957,17.0651685
set_07,50.63098196,17.07652235
set_07,51.0668072,17.20885971
set_07,50.79235473,17.20421434
set_07,50.55127806,17.08465518
set_07,50.55975806,17.09388377
set_07,75.32597855,15.77189199
set_07,75.04472578,17.00426226
set_07,75.28708772,16.17493491
set_07,75.23996998,17.03184749
set_07,75.1524592,17.0049424
set_07,75.96184009,16.69484223
set_07,75.44806251,17.04514941
set_07,75.75938382,16.94292965
set_07,50.3782623,16.94627981
set_07,50.53363501,17.01958137
set_07,77.50090732,50.16698595
set_07,50.69112419,87.51396042
set_07,49.99039495,83.99735692
set_07,50.12718203,82.99075
set_08,55.99303015,79.2772637
set_08,50.03225379,79.0130712
set_08,51.28845866,82.43593984
set_08,51.17053689,79.16529411
set_08,44.37791453,78.164628
set_08,45.01027007,77.88086312
set_08,48.55981672,78.7883706
set_08,42.14226829,76.88063455
set_08,41.02697157,76.40958846
set_08,34.57530901,72.72484118
set_08,31.16860072,69.24542132
set_08,32.64425407,70.73255503
set_08,26.66664565,62.98097121
set_08,26.45926233,62.63467337
set_08,25.53800765,60.63023611
set_08,26.32071119,62.39628112
set_08,26.16338746,62.0268149
set_08,25.21379046,60.2733986
set_08,26.85952956,63.14183467
set_08,31.76066917,69.79765539
set_08,39.79329057,75.80796422
set_08,45.61743919,78.11997023
set_08,53.77146068,79.30293164
set_08,56.45143367,79.24710702
set_08,66.0937202,77.01781826
set_08,56.92583942,79.20631862
set_08,58.98825385,78.91725896
set_08,57.90226605,79.08086782
set_08,64.81286696,77.48693892
set_08,60.34979352,78.72944587
set_08,48.89055576,16.80654352
set_08,47.54950635,17.07140452
set_08,30.88943083,26.32903723
set_08,28.97283572,29.05046892
set_08,35.16136075,22.78684965
set_08,45.87036917,17.48939337
set_08,32.83142061,24.79753815
set_08,39.48557479,20.03305005
set_08,33.44618293,24.19064341
set_08,21.86358128,46.05259335
set_08,25.16587084,35.76661395
set_08,22.95947898,51.28770679
set_08,25.58605524,60.84658336
set_08,26.31431007,33.2971681
set_08,33.03730125,24.56446249
set_08,36.46888948,21.87611447
set_08,26.5135531,32.91874982
set_08,36.02709121,22.19543854
set_08,42.68104041,18.5425362
set_08,45.04107713,17.73451773
set_08,47.35241646,17.13474543
set_08,53.84619403,16.3873181
set_08,55.12963938,16.35324687
set_08,52.18811996,16.41821747
set_08,58.67266308,16.66337243
set_08,82.1443116,33.19522187
set_08,75.68657114,24.74151039
set_08,85.3449645,52.88641987
set_08,83.84465351,58.61606023
set_08,85.66476066,45.54275277
set_08,77.93100493,68.69006188
set_08,73.03183302,73.12057473
set_08,70.1028045,75.68320685
set_08,57.14469469,79.19410259
set_08,46.96246199,78.666559
set_08,50.56493381,79.07729855
set_08,53.71967657,79.30693617
set_08,54.20023232,79.32500234
set_08,47.87519834,78.67585343
set_08,51.47345851,79.159867
set_08,52.75122222,79.29365993
set_08,48.562223,78.78238353
set_08,53.08124169,79.29725077
set_08,56.47538337,79.1678401
set_08,49.57091141,79.03812388
set_08,37.6277033,74.55750434
set_08,32.26370009,70.3166389
set_08,32.54238034,70.70241721
set_08,52.82501719,85.57813388
set_08,58.52828954,78.97870425
set_08,56.26583426,79.25293949
set_08,57.07589242,79.19392254
set_08,54.25640238,79.31386485
set_08,62.68567125,78.17474327
set_08,68.08560586,76.1123175
set_08,65.11812196,77.39918845
set_08,68.7456313,75.79005545
set_08,63.09022514,78.0414095
set_08,77.20458932,69.31214977
set_08,82.03390848,62.68186979
set_08,81.57794592,63.8949255
set_08,85.18014328,53.78167666
set_08,84.28682499,57.25616809
set_08,85.62248671,45.02416586
set_08,85.60449902,50.76233791
set_08,84.42478583,38.76141016
set_08,85.57098508,44.56009644
set_08,84.6267242,39.48707751
set_08,73.39615493,22.81624794
set_08,73.50744773,22.85698876
set_08,63.35648811,17.72406884
set_08,72.95904687,22.51149983
set_08,64.02084165,17.88358125
set_08,61.12446324,17.11635336
set_08,75.67420733,24.78250097
set_08,69.51358316,20.27935789
set_08,58.57213547,16.64270381
set_08,70.98194099,21.1458881
set_08,65.2230304,18.39719512
set_08,65.31504391,18.3337483
set_08,64.01024068,17.92447819
set_08,57.14093593,16.59861054
set_08,56.36515326,16.32654637
set_08,43.04618324,18.40255939
set_08,52.08175556,16.45387453
set_08,42.87903652,18.48941103
set_08,51.5669948,16.48571364
set_08,58.83912512,16.63763522
set_08,60.75578914,17.03323151
set_08,54.76115612,16.3661891
set_08,53.569905,16.33971255
set_08,48.91461824,16.79863708
set_08,52.64613731,16.38483638
set_08,49.83849299,16.67633028
set_08,52.6840664,16.40796278
set_08,65.80721903,18.14076495
set_08,60.67392092,17.05180236
set_08,63.39471287,17.70053514
set_08,64.80200945,18.21687863
set_08,65.02593981,18.2878245
set_08,65.75555154,18.51621583
set_08,69.96773412,20.53898878
set_08,68.89278402,20.03244884
set_08,61.82654656,17.26965545
set_08,60.78797008,17.04620486
set_08,61.91560964,17.28219122
set_08,45.02899753,17.7244473
set_08,39.92136281,19.70184953
set_08,84.79427788,55.56865037
set_08,55.66295874,83.35647962
set_08,50.49224751,78.99753207
set_08,51.46710114,79.20184458
set_09,51.20389114,83.33977661
set_09,58.9744699,85.49981761
set_09,51.87207267,85.82973763
set_09,48.17993079,85.04511674
set_09,41.6832004,84.0179406
set_09,37.8904155,82.567493
set_09,39.54897369,80.81260177
set_09,39.64957388,82.66453387
set_09,34.75059705,80.01109099
set_09,27.56083529,72.84782559
set_09,24.63553998,71.61071483
set_09,20.95946481,66.04149838
set_09,20.68914905,62.72130521
set_09,19.28820474,62.06305936
set_09,20.02450057,61.34262387
set_09,35.469523,43.11588495
set_09,36.89432765,47.70655597
set_09,39.05554978,55.54697371
set_09,46.95708015,65.24040739
set_09,37.31045274,45.2587509
set_09,40.009672,60.98658251
set_09,48.01438668,65.71281959
set_09,53.70377593,66.38948204
set_09,63.06749989,64.03500046
set_09,62.04803251,63.84586325
set_09,59.83996671,64.47676444
set_09,55.16094182,65.23730817
set_09,61.27978658,65.7664025
set_09,60.83491753,64.60376971
set_09,61.52059065,64.79185504
set_09,36.91654386,41.09524744
set_09,38.50219967,41.56715562
set_09,48.66437073,30.68066685
set_09,50.2852524,30.33792211
set_09,42.27633267,34.52763612
set_09,54.03177562,29.67234831
set_09,37.32935526,39.60204231
set_09,41.38952255,37.29605623
set_09,40.07466666,34.6236852
set_09,35.34968062,47.14107313
set_09,34.76370042,47.62479992
set_09,37.02662945,44.46229305
set_09,36.45556953,40.79184303
set_09,35.53766421,48.72938687
set_09,20.40894789,32.20303042
set_09,23.49571047,25.32246815
set_09,29.55754336,21.36477746
set_09,33.00823391,15.98507146
set_09,53.98039918,29.35098671
set_09,52.2343086,29.71167299
set_09,59.50307661,30.66967394
set_09,41.16378107,34.31575825
set_09,48.99304012,32.03035884
set_09,59.26928032,29.64070177
set_09,45.469177,33.83119273
set_09,62.69126654,30.29037383
set_09,73.42867087,48.57785513
set_09,70.84642611,52.28225333
set_09,71.53901985,45.52180616
set_09,67.62086589,38.00655847
set_09,72.47095256,51.12213482
set_09,64.81223756,62.81091559
set_09,60.85367987,65.49914703
set_09,67.78949616,61.36370155
set_09,41.60955727,83.84868656
set_09,53.00302532,84.6747986
set_09,54.71417106,84.04312807
set_09,44.29166872,82.90944121
set_09,49.19172196,85.87622912
set_09,53.10138178,84.54765869
set_09,51.59984815,84.81982149
set_09,54.37972195,84.24035555
set_09,46.4807681,83.51821167
set_09,53.17465627,84.26056799
set_09,45.27200294,85.23707942
set_09,36.03340215,53.37168776
set_09,28.27119417,72.84023126
set_09,25.05480608,71.54859792
set_09,64.758887,82.31522364
set_09,63.14452748,85.23669633
set_09,50.42467869,85.17474759
set_09,70.64499626,82.43091876
set_09,63.14904908,83.94685535
set_09,62.82402452,84.96618595
set_09,70.23686952,82.17115106
set_09,70.04273524,80.38502135
set_09,72.57062345,80.97121843
set_09,75.13071604,79.98409314
set_09,83.29390573,70.77843179
set_09,79.66426228,73.93230972
set_09,88.43210253,64.624247
set_09,89.11555901,64.00150664
set_09,89.09219763,57.76819305
set_09,91.72600577,52.62335326
set_09,91.73553876,48.97021089
set_09,91.50788817,53.31265209
set_09,88.2390019,31.47743488
set_09,88.5305192,30.47603101
set_09,55.36516034,30.44585028
set_09,62.56025887,30.44713567
set_09,58.00666912,30.2537213
set_09,55.06711799,29.0115352
set_09,61.61477596,29.99439119
set_09,68.54314354,35.65783217
set_09,77.70610965,20.30426019
set_09,68.453046,13.03552859
set_09,68.25720644,12.38463915
set_09,70.25547467,13.25038497
set_09,65.04432528,11.00084148
set_09,60.09224661,11.87211171
set_09,52.99202897,9.906668483
set_09,50.14462898,12.21154309
set_09,46.50861419,11.20713449
set_09,43.80703196,11.31894489
set_09,57.81785469,10.94514243
set_09,50.94049266,9.691547134
set_09,63.49732308,11.91406917
set_09,50.01648295,11.93385209
set_09,58.63676508,11.97472107
set_09,54.73028909,11.41288267
set_09,65.8755478,11.73243636
set_09,57.06098271,9.920560854
set_09,46.81990795,10.49465268
set_09,38.35939487,13.43132262
set_09,47.31541578,12.85345178
set_09,55.05191654,11.94998862
set_09,50.51596026,9.765591622
set_09,49.67741465,10.38313251
set_09,67.28065952,14.12865153
set_09,66.17301826,12.03791702
set_09,61.08854414,10.08453441
set_09,66.05308577,13.38022601
set_09,72.66998927,15.23422594
set_09,61.5034725,10.82841448
set_09,68.99502863,13.99431053
set_09,78.24991617,17.88324091
set_09,36.48198057,15.16276009
set_09,50.96774838,29.67977429
set_09,91.19105361,46.67434284
set_09,55.86376849,85.33648676
set_09,49.2805948,84.04882283
set_09,43.36850154,84.3321772
set_10,47.69520089,95.24118693
set_10,44.60997591,93.07583503
set_10,43.85638148,94.08587177
set_10,41.5789294,90.30356654
set_10,49.17741856,96.61053245
set_10,42.65225098,90.56063973
set_10,30.12333182,81.14429533
set_10,31.91551999,79.79041349
set_10,27.88771936,75.44557599
set_10,27.54823445,75.16475905
set_10,20.20977816,67.5166421
set_10,24.44345283,54.47365512
set_10,24.63083013,53.3957389
set_10,21.0379689,49.82929965
set_10,27.10624293,54.71955315
set_10,28.08961766,60.51221255
set_10,31.13573492,61.43191271
set_10,37.70083752,68.41840528
set_10,43.3926884,43.59759407
set_10,51.26239748,49.66650513
set_10,43.28671292,43.05686032
set_10,55.90591623,54.25267253
set_10,50.19895895,52.22502959
set_10,55.76158737,54.03051724
set_10,58.32313965,60.03105916
set_10,70.17145753,70.28222124
set_10,60.60027647,59.75330888
set_10,63.76027502,61.18564117
set_10,54.38949526,53.81190123
set_10,55.24129699,52.59357463
set_10,49.07012675,48.89694468
set_10,46.01811902,46.25772337
set_10,44.75958744,41.97460661
set_10,51.60062413,50.03246689
set_10,36.46588202,35.52418761
set_10,33.39479873,35.01680131
set_10,37.58007157,38.8315722
set_10,36.61972206,36.81141411
set_10,36.16346644,33.8193142
set_10,33.16775703,31.24774117
set_10,42.64498293,40.15432164
set_10,47.22502527,44.57564662
set_10,48.392363,50.33152856
set_10,27.2451932,29.81950745
set_10,30.40431434,29.07953992
set_10,30.08079929,27.58802552
set_10,33.98063397,35.03305815
set_10,34.25061176,34.44158657
set_10,51.14118357,20.61832378
set_10,49.89959207,19.56408354
set_10,55.58987734,26.29924511
set_10,55.48205636,22.82746624
set_10,63.57293938,32.93861761
set_10,59.02507708,28.32208588
set_10,62.42377859,33.48659529
set_10,47.8499077,48.55662465
set_10,52.26856168,52.8052402
set_10,68.85102158,39.57343427
set_10,65.67639603,35.10931543
set_10,77.74688511,47.37182411
set_10,80.35293412,47.80029889
set_10,60.33758649,63.03495933
set_10,61.65872333,64.10002348
set_10,71.54503899,72.65771633
set_10,49.04095664,77.36258327
set_10,51.88688802,80.11360769
set_10,57.96898144,85.35604573
set_10,54.85566465,83.78339767
set_10,54.13319546,83.79399608
set_10,51.30882526,80.13639116
set_10,61.12039438,88.70405291
set_10,55.56386503,85.81037514
set_10,55.04412336,83.54141063
set_10,50.44418532,78.19588831
set_10,43.827709,71.04705221
set_10,37.79143238,66.85464103
set_10,29.29278311,59.79199693
set_10,32.19209695,60.20065091
set_10,51.43393552,99.25686729
set_10,67.46413981,95.99996391
set_10,65.15070528,92.50263374
set_10,65.5834277,93.51706094
set_10,69.28897314,99.57959113
set_10,81.26944055,80.63594493
set_10,78.57574484,76.81570309
set_10,74.1867735,74.34420415
set_10,72.62220941,74.52696565
set_10,75.14151959,73.81966846
set_10,75.16866784,73.90044488
set_10,85.32420289,55.38857883
set_10,84.0905076,56.30196801
set_10,86.25622382,55.83093038
set_10,92.54879332,42.90190791
set_10,90.34263451,37.7803861
set_10,85.8191629,37.57138618
set_10,90.44181811,40.13311342
set_10,92.01755908,39.91793113
set_10,95.26052784,46.00883027
set_10,41.2902998,42.31155241
set_10,66.43132432,36.53610974
set_10,63.98634689,32.71343161
set_10,61.26968209,29.38572405
set_10,60.74938919,28.05173634
set_10,64.65523056,16.61227651
set_10,68.63828071,18.5080129
set_10,65.77666516,16.78765607
set_10,71.13412634,19.38595753
set_10,63.7231835,14.5214212
set_10,73.00149407,24.07381254
set_10,72.4366575,20.57834511
set_10,68.41276712,19.91312654
set_10,52.85831502,20.235061
set_10,53.52995267,24.24191558
set_10,50.75974105,18.0893946
set_10,42.53480844,10.16986846
set_10,41.53039785,13.39629075
set_10,46.71451799,15.61327447
set_10,48.45061765,16.21227822
set_10,59.63261012,7.058037199
set_10,61.61856825,13.41082272
set_10,48.83398913,17.72595587
set_10,45.34265319,13.90881239
set_10,42.41501229,11.6937811
set_10,58.93476506,9.369201219
set_10,60.68362604,10.63264156
set_10,54.81179837,6.569648703
set_10,61.58684243,11.02758584
set_10,59.71600776,11.51909686
set_10,58.41638401,5.645777483
set_10,59.24380953,10.54014209
set_10,56.59436464,8.917344045
set_10,68.49251322,17.98736343
set_10,65.00594317,15.91266865
set_10,63.92103671,15.62096103
set_10,53.51297054,5.875109528
set_10,57.83280627,9.222384623
set_10,31.03291744,28.92814189
set_10,31.33324409,32.53856948
set_10,86.40154985,38.74693317
set_10,47.44211164,98.18430186
set_10,46.26474134,94.11619216
set_10,40.16381574,87.44867235
set_11,52.87202149,97.34322266
set_11,59.01414449,93.57487487
set_11,56.37510904,96.30514763
set_11,37.83919968,94.3594435
set_11,39.88537342,90.63466208
set_11,44.07740513,84.1258533
set_11,31.49702549,67.91256216
set_11,25.95259655,73.03318035
set_11,36.43472391,62.29404546
set_11,24.99748269,75.44156166
set_11,32.24627514,70.11058684
set_11,18.10947229,53.70811033
set_11,21.79609923,49.49952952
set_11,24.15049107,47.18853353
set_11,28.6031956,44.2237227
set_11,20.93199968,51.64623549
set_11,35.43553253,34.96103816
set_11,44.37738282,57.68473692
set_11,46.31369241,55.68559177
set_11,46.38607392,51.00216454
set_11,42.49544009,56.90368153
set_11,44.30051503,58.13295928
set_11,46.98828335,55.42063673
set_11,52.42152316,47.86700549
set_11,64.09099819,68.65098501
set_11,63.01687176,68.22525891
set_11,67.30257792,64.41346272
set_11,67.22595689,62.47641053
set_11,50.30998872,47.26788186
set_11,45.41263892,53.87079769
set_11,54.02060718,47.26989721
set_11,49.84202225,50.57655229
set_11,50.71329957,48.77228678
set_11,55.04555491,45.98627275
set_11,37.54370126,32.88402447
set_11,39.79589781,28.44321912
set_11,28.52339102,39.79666625
set_11,31.399646,39.26526322
set_11,39.24156522,33.36141668
set_11,27.71405657,42.25005163
set_11,32.96070352,35.82311129
set_11,35.40473624,31.9391622
set_11,51.64222642,50.83834068
set_11,34.20762084,33.59380544
set_11,36.52348922,35.67104839
set_11,28.41920213,21.31574825
set_11,26.16049694,23.04223147
set_11,40.4353274,27.64007114
set_11,44.54495531,27.36224262
set_11,40.1237272,30.07316194
set_11,42.18480645,28.57367473
set_11,40.00265929,27.48751
set_11,57.12523105,42.73901914
set_11,60.37574497,41.356458
set_11,55.10589613,46.14905106
set_11,61.73727102,38.58484401
set_11,55.74124432,46.65357698
set_11,58.29640842,41.58319773
set_11,57.04254822,42.41875774
set_11,76.77561121,55.2545987
set_11,71.88707726,59.26699262
set_11,73.78837307,58.62081212
set_11,75.13968473,54.24455218
set_11,64.59631891,65.95251293
set_11,46.90953863,85.60226116
set_11,46.9051032,81.56564241
set_11,49.80698774,82.08502559
set_11,48.86324182,83.15835749
set_11,66.7481899,84.00483417
set_11,62.35976628,90.24365992
set_11,47.3748965,83.47155552
set_11,47.44646672,82.62212401
set_11,53.38528063,78.87113626
set_11,49.45270777,79.9306028
set_11,54.80268254,75.36398499
set_11,37.08824513,60.8572275
set_11,32.37596192,68.51082046
set_11,37.47701388,63.78868557
set_11,52.4066489,96.42541501
set_11,50.29704327,99.64417917
set_11,61.56332438,89.86413886
set_11,61.08656039,89.22435565
set_11,59.2364904,91.48110058
set_11,66.15400509,84.11193703
set_11,67.23133478,85.05564081
set_11,73.70990687,78.2706109
set_11,76.58045136,72.89153368
set_11,78.87658116,71.56252768
set_11,77.44900214,72.44730949
set_11,86.85370735,65.54332402
set_11,79.8065313,52.72317979
set_11,76.98827347,54.2027848
set_11,79.4793575,49.14101545
set_11,82.30415956,46.99090362
set_11,90.70069125,41.46670301
set_11,95.44348781,36.18970161
set_11,94.99748805,35.09530111
set_11,91.51784725,36.89026313
set_11,62.29264219,40.02953331
set_11,59.20347561,41.27067767
set_11,65.25639277,32.85410412
set_11,62.4447425,35.41499923
set_11,72.46240629,27.62426383
set_11,69.91942626,29.31109272
set_11,77.76285908,23.49137356
set_11,72.7784102,26.90053537
set_11,65.19831667,33.02717179
set_11,69.45985889,30.19703151
set_11,59.31505552,12.35431367
set_11,51.48771336,20.84361069
set_11,57.11244755,15.32178517
set_11,50.22441782,19.17096988
set_11,50.43386119,18.53487085
set_11,56.3803054,14.78845971
set_11,54.8635046,14.00961192
set_11,45.49985765,3.985426293
set_11,49.93674531,21.59009692
set_11,53.80987292,17.76641445
set_11,59.85267828,9.039949921
set_11,48.17565679,19.52121535
set_11,50.74171907,17.83840561
set_11,58.4597613,14.14866285
set_11,50.11459752,1.741461713
set_11,45.42038208,5.372408995
set_11,51.3532682,0.303872421
set_11,53.09170442,19.29003045
set_11,58.94316654,11.61287779
set_11,59.31099042,10.57213637
set_11,68.22219866,1.133880366
set_11,62.51177199,7.491232483
set_11,69.38005636,1.488132333
set_11,82.80024787,18.52937624
set_11,85.16033218,15.01836954
set_11,67.0958477,0.601490942
set_11,62.30775057,5.749974719
set_11,59.97041505,7.913310474
set_11,39.91163517,32.14402261
set_11,39.59650098,32.13613173
set_11,95.5934164,33.2341294
set_11,52.77228811,99.61347168
set_11,53.17861445,98.60386119
set_11,37.62705346,93.06067295
set_12,65.81554009,95.58837406
set_12,65.67226516,91.93340181
set_12,39.00271645,92.26183816
set_12,37.7953028,93.53245536
set_12,35.51390059,89.59919011
set_12,39.21945291,83.54348184
set_12,31.58820139,77.02805242
set_12,32.65777825,80.1138613
set_12,31.64159927,77.61083319
set_12,30.98714261,63.94402803
set_12,27.43963221,65.74446296
set_12,30.57836994,65.52194547
set_12,28.80940164,59.62100447
set_12,27.93951858,50.98506213
set_12,33.84994979,46.28447445
set_12,32.62846305,54.06372049
set_12,32.43865009,49.90301949
set_12,35.83829208,53.35148834
set_12,37.14204292,49.74198795
set_12,34.64454677,54.44410778
set_12,35.6754047,49.62564335
set_12,64.99458547,49.46217283
set_12,66.12914983,61.64371789
set_12,65.79065188,55.94537372
set_12,67.50178061,60.85022747
set_12,67.62951422,61.42910607
set_12,63.91006406,62.97233493
set_12,66.54935797,67.72558866
set_12,64.05154171,48.82009398
set_12,68.19328958,46.54354081
set_12,65.2783892,44.82035293
set_12,34.99766139,28.63299394
set_12,33.92376617,53.55868852
set_12,66.00445437,52.68466915
set_12,37.02325625,32.11848168
set_12,34.69827009,36.47535413
set_12,34.86344417,30.93927452
set_12,31.09006508,32.38375472
set_12,34.92130615,35.41843805
set_12,30.34336118,32.52456317
set_12,35.48332887,44.49163493
set_12,33.23491043,38.50248372
set_12,35.43994362,47.79751769
set_12,33.87350952,37.05602845
set_12,28.5641378,34.62639972
set_12,31.31954867,31.66399053
set_12,30.79617438,23.51903436
set_12,34.23335543,22.4959116
set_12,36.63078771,31.47683126
set_12,34.5486191,26.11108787
set_12,37.5196356,29.26760589
set_12,62.42569733,34.04420627
set_12,64.32038379,31.78562948
set_12,65.44553251,43.27349919
set_12,64.32563159,41.61597638
set_12,65.2643382,35.71754478
set_12,66.38870418,38.84474434
set_12,68.19142282,45.16948648
set_12,68.54066245,48.43852634
set_12,67.66143127,51.06858459
set_12,68.67551605,50.46523481
set_12,69.08170998,55.4740531
set_12,69.04871649,66.36604575
set_12,67.30822338,71.59029658
set_12,38.71489941,76.39697782
set_12,35.54809488,89.30497584
