Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
EXC UN Equity,Exelon Corp,US,Utilities,29.57,31.49,-1085,1965,27289,95128,6488,-1173,13.4933,53.9567,30000,-341,24.929,27191.5191,7990,1096,19155
COP UN Equity,ConocoPhillips,US,Energy,39.08,33.83,-3648,-1017,44555,105949,9151,-3118,-8.9388,4.6492,34479,2506,47.6,48249.8081,5920,825,22478
PHM UN Equity,PulteGroup Inc,US,Consumer Discretionary,16.76,17.19,-106.599,481.448,4571.605,8801.578,-139.398,-180.734,12.9682,23.3604,5742.893,#N/A N/A,34.693,5851.5386,789.466,0.822,1457.459
PNW UN Equity,Pinnacle West Capital Corp,US,Utilities,66.31,68.83,-251.359,401.55,4791.319,14875.018,1034.082,-54.091,23.0813,67.7304,3487.463,-17.115,20.42,7350.4472,1357.838,182.617,3712.773
PBI UN Equity,Pitney Bowes Inc,US,Industrials,19.58,18.12,-141.618,384.161,438.397,6141.781,608.809,419.88,17.7861,58.4794,3625.026,27.543,25.746,3858.2435,826.963,#N/A N/A,2241.852
PCL UN Equity,Plum Creek Timber Co Inc,US,Financials,40.51,36.54,-310,231,1506,5004,557,474,20.1935,28,1550,#N/A N/A,35.93,7052.6472,449,#N/A N/A,3159
PNC UN Equity,PNC Financial Services Group Inc/The,US,Financials,86.65,81.31,-1256,3899,46278,362125,4577,4577,35.7726,#N/A N/A,16338,#N/A N/A,23.86,44001.3714,#N/A N/A,1019,17070
PPG UN Equity,PPG Industries Inc,US,Materials,95.12,96.53,-379,1175,5196,17574,1477,926,12.0983,43.5304,15341,-122,23.257,25612.8859,2349,139,3138
PX UN Equity,Praxair Inc,US,Materials,100,101.79,-804,1427,4813,18456,2663,1027,19.8908,41.8136,11171,7,21.045,28484.552,3344,#N/A N/A,9381
SPN UN Equity,Superior Energy Services Inc,US,Energy,10.31,10.28,-48.251,-1551.195,2452.418,5284.388,834.187,291.084,-44.8936,36.0481,3408.041,489.822,67.835,1554.0837,-905.322,#N/A N/A,1108.982
PCP UN Equity,Precision Castparts Corp,US,Industrials,234.95,234.95,-16,1322,11505,20189,1669,1013,24.084,31.0184,9662,81,3.473,32326.3574,2664,88,4366
PGR UN Equity,Progressive Corp/The,US,Financials,31.25,31.92,-403.6,1307.4,7462,29935,2227.6,2106.5,10.0724,#N/A N/A,20607.8,#N/A N/A,19.619,18267.0078,#N/A N/A,131.8,2519.8
PEG UN Equity,Public Service Enterprise Group Inc,US,Utilities,41.3,42.66,-779,1846,12934,36424,3852,172,29.67,68.3318,10910,#N/A N/A,22.138,20896.2245,4716,389,8961
RTN UN Equity,Raytheon Co,US,Industrials,128.24,123.85,-779,2085,10692,29249,2447,2056,13.2426,24.4298,23062,#N/A N/A,21.786,38612.8065,3519,230,2273
RHI UN Equity,Robert Half International Inc,US,Industrials,43.77,39.39,-105.021,348.406,1006.476,1715.272,403.119,328.22,11.3628,41.4053,5011.789,-108.163,24.482,5807.6771,621.923,#N/A N/A,-250.622
RDC UN Equity,Rowan Cos Plc,US,Energy,12.65,13.32,-50.444,-357.943,4644.938,8341.675,881.608,-384.021,-13.2073,34.2448,2157.411,1.856,56.609,1578.8913,97.719,134.77,2516.205
MSG UN Equity,Madison Square Garden Co/The,US,Consumer Discretionary,154.08,155,#N/A N/A,#N/A N/A,2753.23,3744.876,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.583,3848.234,#N/A N/A,#N/A N/A,-1467.093
R UN Equity,Ryder System Inc,US,Industrials,53.17,56.72,-80.899,239.54,1952.064,10820.186,1479.077,-1126.208,7.8599,21.9342,6555.45,-7.03,39.798,2840.6125,1696.552,151.663,5375.31
SCG UN Equity,SCANA Corp,US,Utilities,62.95,65.02,-305,753,5419,16506,979,-186,28.633,52.2423,4638,48,21.849,8996.6199,1764,317,6244
GNTX UW Equity,Gentex Corp,US,Consumer Discretionary,13.69,14.56,-95.5727,301.0492,1671.0956,2124.0114,382.9309,298.1234,28.9377,38.645,1488.436,-21.7916,26.249,3990.9655,512.0571,3.7,-337.0282
EIX UN Equity,Edison International,US,Utilities,61.8,68.16,-524,1519,13631,51270,4049,173,19.2161,61.9582,12297,21,18.898,20135.1333,4405,557,12272
SLB UN Equity,Schlumberger Ltd,US,Energy,72.27,71.72,-2303,3390,38179,63342,10516,7523,11.9194,21.4263,40371,2440,32.157,90797.7096,8992,341,5643
SCHW UN Equity,Charles Schwab Corp/The,US,Financials,25.53,25.05,-375,1315,13196,170402,1214,920,34.4513,#N/A N/A,6351,#N/A N/A,37.441,33610.8402,2527,119,-4766
SHW UN Equity,Sherwin-Williams Co/The,US,Materials,255.67,270.5,-240.327,984.892,976.165,6102.023,1102.722,880.09,13.3116,48.2564,11304.12,#N/A N/A,26.894,23803.0093,1702.275,57.643,1869.109
SJM UN Equity,JM Smucker Co/The,US,Consumer Staples,128.32,127.57,-286.6,383,7233.2,16694.8,1229.8,978.4,13.1058,35.7029,6916.8,-16,21.04,15356.6846,1265,#N/A N/A,5725.5
SNA UN Equity,Snap-on Inc,US,Industrials,161.56,144.67,-123.3,463.5,2378.8,4491.4,449.3,367.8,20.7199,50.477,3595.1,-40.5,21.028,9377.9292,826.5,52.7,818.5
SO UN Equity,Southern Co/The,US,Utilities,48.92,48.18,-2005,2396,22082,75215,6216,-663,23.9065,67.5125,17970,170,16.829,44465.2912,6578,828,26020
BBT UN Equity,BB&T Corp,US,Financials,32.66,32.16,-900,1985,27264,208809,3639,3639,31.7917,#N/A N/A,10176,#N/A N/A,23.881,25479.6998,#N/A N/A,727,24684
LUV UN Equity,Southwest Airlines Co,US,Industrials,37.62,41.95,-180,1835,6968,21159,3118,1420,19.0591,#N/A N/A,19471,52,33.911,24466.359,4714,97,-428
SWN UN Equity,Southwestern Energy Co,US,Energy,8.89,5.78,-52,-2223,4437,10725,1788,-5232,-99.8307,40.3667,3545,102,92.49,3418.0145,-2413,72,4649
SWK UN Equity,Stanley Black & Decker Inc,US,Industrials,94.34,94.01,-320,764,5720.6,15870.9,1115.7,824,11.834,36.3333,11308.9,#N/A N/A,24.37,14125.1809,1758,#N/A N/A,4011
PSA UN Equity,Public Storage,US,Financials,253.56,249.49,-1321.201,1034.004,9178.608,9654.815,1764.979,1187.339,50.8345,#N/A N/A,2338.063,#N/A N/A,19.309,43905.3285,1618.816,0,145.057
GT UW Equity,Goodyear Tire & Rubber Co/The,US,Consumer Discretionary,28.41,30.12,-66,2816,4952,17515,1914,969,9.6499,25.711,16736,106,32.126,7639.6803,2316,424,4310
IDXX UW Equity,IDEXX Laboratories Inc,US,Health Care,70.14,73.16,0,173.69,-38.803,1477.21,169.771,84.235,17.2312,54.9967,1554.166,-46.186,32.464,6380.1826,334.307,26.709,792.507
STI UN Equity,SunTrust Banks Inc,US,Financials,36.58,33.18,-508,1777,23664,187036,260,135,31.859,#N/A N/A,8548,#N/A N/A,27.369,18641.6427,#N/A N/A,522,8235
SYY UN Equity,Sysco Corp,US,Consumer Staples,39.81,44.13,-704.262,652.38,5349.928,13371.551,1231.384,686.132,2.5764,17.6252,48798.282,44.826,14.305,22473.3476,1812.209,350.78,2699.978
TE UN Equity,TECO Energy Inc,US,Utilities,27.12,27.47,-210.5,133.8,2561.6,8816.9,638,-100.7,19.8415,62.8253,2762.9,35.4,7.766,6379.4582,895.9,188.3,3923.6
TER UN Equity,Teradyne Inc,US,Information Technology,19.43,19.08,-51.428,103.308,2045.605,2661.884,547.563,458.206,7.6958,55.3308,1644.37,80.613,31.238,3993.2018,268.827,#N/A N/A,-1077.158
MDVN UW Equity,Medivation Inc,US,Health Care,32.7,35.77,0,266.423,671.668,1020.594,274.246,259.287,40.0707,#N/A N/A,840.24,-69.522,61.847,5353.3187,343.283,17.584,-386.804
TSO UN Equity,Tesoro Corp,US,Energy,87.25,80.68,-206,1631,7859,16601,2164,1183,9.4648,20.4805,30883,#N/A N/A,45.074,10504.0647,3629,#N/A N/A,2832
TXN UW Equity,Texas Instruments Inc,US,Information Technology,52.93,53.02,-1414,2932,9970,16540,4110,3598,32.3547,58.0199,13080,-18,31.243,53692.8297,5409,90,1397
TXT UN Equity,Textron Inc,US,Industrials,34.22,34.15,-28,683,4696,14898,1057,597,8.4804,18.5643,13596,-11,34.866,9365.0014,1619,176,3275
TMO UN Equity,Thermo Fisher Scientific Inc,US,Health Care,132.06,129.19,-240.7,1974,20850.2,41147.1,2542.5,2092.3,13.5972,46.708,16805.7,-174,25.759,52704.8405,3977.5,428.1,12808.5
TIF UN Equity,Tiffany & Co,US,Consumer Discretionary,63.84,64.98,-201.354,496.982,2871,5165.8,864.838,612.014,19.247,60.055,4176.362,-42.019,28.734,8185.0437,1002.783,#N/A N/A,353.9
TJX UN Equity,TJX Cos Inc/The,US,Consumer Discretionary,71.24,74.1,-524.297,2259.422,4350.461,11992.433,2836.203,1979.913,12.1062,28.6641,30286.816,-16.529,26.1,47697.2541,4271.092,58.808,-499.043
TMK UN Equity,Torchmark Corp,US,Financials,54.34,51.22,-66.595,540.892,4283.302,20119.24,686.423,650.875,22.5291,#N/A N/A,3884.068,#N/A N/A,19.987,6701.7664,#N/A N/A,76.427,1302.269
TSS UN Equity,Total System Services Inc,US,Information Technology,40.16,43.58,-73.914,357.818,1904.167,3889.522,630.641,573.556,19.9783,33.7149,2697.802,-38.867,40.015,7389.0147,793.385,40.9,971.854
BF/A UN Equity,Brown-Forman Corp,US,Consumer Staples,106.29,106.59,-262,682,1401,4319,699,573,33.2582,69.4462,3106,#N/A N/A,22.723,20414.0834,1086,35,1587
TYC UN Equity,Tyco International Plc,US,Industrials,34.39,35.18,-323,551,4076,12321,537,291,8.9275,36.6795,9902,-150,28.469,14602.6302,1226,102,1745
KEX UN Equity,Kirby Corp,US,Industrials,50.65,56.61,0,243.005,2253.678,4165.939,490.813,104.565,17.5874,27.1154,2331.691,#N/A N/A,36.483,2735.5558,608.46,19.607,807.933
UNP UN Equity,Union Pacific Corp,US,Industrials,72,78.86,-2323,5086,20599,53763,7652,3209,37.3803,#N/A N/A,22758,127,27.851,61496.6836,10491,604,12241
UNH UN Equity,UnitedHealth Group Inc,US,Health Care,115.16,119.1,-1668,6105,34693,108272,8658,7182,7.7024,24.7664,146941,-1273,28.524,109759.9702,12908,681,21857
UNM UN Equity,Unum Group,US,Financials,28.64,28.53,-170.9,358.8,8581.1,61503.8,1279,1279,5.818,#N/A N/A,10647.9,#N/A N/A,25.216,6972.3336,#N/A N/A,152.4,2613.9
MRO UN Equity,Marathon Oil Corp,US,Energy,9.73,8.21,-569,-485,19335,34674,2368,-2148,-30.7467,23.4707,6817,1150,73.093,6589.7411,1048,#N/A N/A,5978
ERIE UW Equity,Erie Indemnity Co,US,Financials,96.11,94.01,-124.24,170.129,8125,18115,52.762,17.334,11.5339,#N/A N/A,3666.087,#N/A N/A,20.808,5025.5792,#N/A N/A,#N/A N/A,-15268
X UN Equity,United States Steel Corp,US,Materials,7,9.12,-29,-234,3172,11191,551,7,-2.6924,8.3831,13074,642,88.428,1023.9165,204,223,2333
VAR UN Equity,Varian Medical Systems Inc,US,Health Care,77.13,78.22,0,411.489,1726.344,3600.748,469.556,378.172,17.716,41.3905,3099.071,-79.394,22.053,7404.1505,617.55,7.935,-349.522
VTR UN Equity,Ventas Inc,US,Financials,55.32,55.67,-994.775,400.305,9868.506,22413.977,1356.918,-1713.419,21.7395,#N/A N/A,3177.214,#N/A N/A,27.243,18420.6078,1668.871,341.37,11203.329
VFC UN Equity,VF Corp,US,Consumer Discretionary,62.6,65.11,-545.927,1041.485,5361.197,10651.922,1029.5,842.219,11.524,48.5433,12542.841,-185.292,35.641,26686.9485,1758.602,89.391,2143.432
INCY UW Equity,Incyte Corp,US,Health Care,70.56,73.5,0,-85.591,88.737,931.932,61.247,36.285,-6.3192,96.8926,633.843,22.633,69.009,13124.2881,6.446,47.906,-11.112
VNO UN Equity,Vornado Realty Trust,US,Financials,88.46,86.36,-493.052,962.352,8558.386,19971.926,750.266,-680.246,29.652,#N/A N/A,2447.696,#N/A N/A,21.762,16678.3261,1245.692,390.823,9218.87
VMC UN Equity,Vulcan Materials Co,US,Materials,88.2,98.53,-47.789,170.31,4363.277,8316.866,391.947,121.5,14.3567,23.2916,3319.922,#N/A N/A,35.4,11758.7345,752.04,#N/A N/A,1810.942
PRA UN Equity,ProAssurance Corp,US,Financials,50.12,49.31,-218.59,146.362,2006.79,4963.004,100.442,94.06,24.8108,#N/A N/A,804.178,#N/A N/A,15.862,2663.5286,#N/A N/A,14.365,148.658
SPXC UN Equity,SPX Corp,US,Industrials,9.3,11.79,-46.1,-109.8,319.1,2278.8,25.4,-15.4,-8.8683,20.8158,2380.4,-43.7,51.438,379.4835,-140.1,36.2,339.5
GHC UN Equity,Graham Holdings Co,US,Consumer Discretionary,484.69,488.11,-61.989,181.955,2585.838,4524.329,151.6,-43.269,-0.585,54.6683,2896.053,-104.457,29.306,2830.7611,181.652,34.884,-918.245
WY UN Equity,Weyerhaeuser Co,US,Financials,25.61,25.98,-656,569,4878,12820,1039,606,13.9457,20.1484,7142,16,26.818,13073.3368,1480,349,4354
WHR UN Equity,Whirlpool Corp,US,Consumer Discretionary,134.39,155.32,-259,684,5789,19623,1450,761,5.5592,17.4088,21334,-193,37.193,10508.5501,1845,170,4114
WMB UN Equity,Williams Cos Inc/The,US,Energy,19.3,15.99,-1782,337,18260,50819,3097,-419,20.0934,49.3129,7495,204,106.463,14470.4589,3172,1010,23587
WEC UN Equity,WEC Energy Group Inc,US,Utilities,55.23,56.35,-398.9,580.6,8711.4,28769.6,1237.8,220.8,21.0036,60.7573,5302.9,129.1,20.901,17435.2521,1610.3,284.8,9972.3
XRX UN Equity,Xerox Corp,US,Information Technology,9.75,9.61,-326,384.994,9506,24946,1590,1308,3.7666,29.4328,18425,-81,33.183,9870.9294,1960,356,6772
ADBE UW Equity,Adobe Systems Inc,US,Information Technology,89.13,85.15,0,629.551,7001.58,11726.472,1469.502,1284.566,18.8321,84.4789,4795.511,-79.502,27.825,44416.1898,1242.568,64.184,-2080.853
AES UN Equity,AES Corp/VA,US,Utilities,9.5,9.8,-245,597,6999,37000,2080,-234,16.9927,18.1969,15695,-340,36.167,6392.1907,3855,1446,18808
DPZ UN Equity,Domino's Pizza Inc,US,Consumer Discretionary,113.93,133.04,-61.776,178.063,-1255.949,603.196,240.762,167.818,17.4626,30.2723,2118.295,#N/A N/A,26.78,6225.9605,408.368,85.872,1495.414
AMGN UW Equity,Amgen Inc,US,Health Care,152.73,142.28,-2264,6433,27967,71869,9615,9023,36.7992,79.7782,21457,-511,32.167,115807.5784,9987,#N/A N/A,641
MCY UN Equity,Mercury General Corp,US,Financials,46.43,52.58,-136.218,30.118,1829.499,4646.579,195.745,174.204,0.7306,#N/A N/A,2944.943,#N/A N/A,21.585,2561.286,#N/A N/A,3.041,-5.184
AAPL UW Equity,Apple Inc,US,Information Technology,97.34,96.69,-11561,53394,119355,290479,81266,70019,30.4773,40.0599,233715,-3124,30.194,539709.71,82487,733,-141204
ADSK UW Equity,Autodesk Inc,US,Information Technology,46.82,51.74,0,-248.7,1733.1,5220,501.3,444,0.9919,85.5063,2520.4,#N/A N/A,39.903,10549.6306,170.7,#N/A N/A,-1337.5
CTAS UW Equity,Cintas Corp,US,Industrials,85.92,83.99,-201.941,641.017,1924.528,4450.792,552.74,326.228,15.7877,43.1214,4669.4,-28.114,21.927,9290.5687,895.015,65.232,627.389
CMCSA UW Equity,Comcast Corp,US,Consumer Discretionary,55.71,57.73,-2401,8117,53169,158958,18456,10239,21.6214,69.7631,72997,-444,21.641,136261.657,24283,2692,45727
TAP UN Equity,Molson Coors Brewing Co,US,Consumer Staples,90.48,85.27,-296.6,420.8,7272.7,12645.3,675.7,403.7,11.6395,39.3871,3696.9,#N/A N/A,26.449,19408.2989,752.2,#N/A N/A,2608.5
PKG UN Equity,Packaging Corp of America,US,Materials,50.83,48.5,-186.696,427,1615,5422.2,721.38,336.457,12.9183,21.1935,5784.8,28.97,38.902,4967.331,1115.314,#N/A N/A,2161.9
KLAC UW Equity,KLA-Tencor Corp,US,Information Technology,66.99,67.74,-3060.316,398.822,294.441,4571.323,764.762,725.075,25.3388,57.4593,2813.792,-32.856,35.593,10427.9744,792.093,123.052,881.599
MKC UN Equity,McCormick & Co Inc/MD,US,Consumer Staples,87.97,93.26,-201.4,400.4,1762.2,4490.7,544.4,419.7,12.5492,40.3397,4268,#N/A N/A,21.904,11177.7032,638.9,51.9,1383.6
NDSN UW Equity,Nordson Corp,US,Industrials,60.43,71.67,-54.849,211.111,660.016,2360.444,261.951,199.864,18.8154,54.1234,1688.666,#N/A N/A,27.93,3443.5672,382.924,18.104,1080.907
JWN UN Equity,Nordstrom Inc,US,Consumer Discretionary,49.1,51.32,-1178,675,1408,8586,2449,1347,8.6932,37.2716,14287,-140,41.787,9027.9171,1798,#N/A N/A,1988
TCB UN Equity,TCF Financial Corp,US,Financials,12.01,11.34,-52.432,149.197,2273.147,20125.936,448.956,398.02,21.5195,#N/A N/A,1322.394,#N/A N/A,30.45,2036.5869,#N/A N/A,67.494,434.611
NNN UN Equity,National Retail Properties Inc,US,Financials,42.94,43.98,-222.557,173.686,3165.186,5349.235,342.962,-262.265,60.3815,#N/A N/A,471.853,#N/A N/A,20.984,5846.782,417.379,87.29,2019.991
PCAR UW Equity,PACCAR Inc,US,Industrials,49.07,51.5,-673.7,1651.1,7343.8,21519.8,2373.2,663.8,12.1053,18.2535,19878.9,-418.4,30.701,17344.0736,3325.8,#N/A N/A,5229.4
NVR UN Equity,NVR Inc,US,Consumer Discretionary,1651,1637,0,348.374,1240.49,2570.682,241.992,224.176,11.5671,19.9985,4931.771,1.234,23.442,6459.8857,591.675,23.195,212.944
COST UW Equity,Costco Wholesale Corp,US,Consumer Staples,151.12,150.03,-2865,2361,11080,35451,3968,1415,3.1067,13.0859,116553,#N/A N/A,20.645,66459.143,4765,131,-157
CBSH UW Equity,Commerce Bancshares Inc/MO,US,Financials,41.13,42.48,-86.957,250.273,2371.043,23967.648,360.331,328.16,35.6127,#N/A N/A,1107.156,#N/A N/A,25.274,4008.6842,#N/A N/A,27.828,863.278
LEN/B UN Equity,Lennar Corp,US,Consumer Discretionary,34.65,33.71,-33.192,794.162,5950.072,14419.509,-419.646,-511.001,11.4631,22.5175,9474.008,-86.432,32.943,8676.3739,1129.682,12.454,4131.722
ODFL UW Equity,Old Dominion Freight Line Inc,US,Industrials,54.83,64.56,0,302.335,1647.413,2474.485,485.933,68.231,16.7837,25.652,2958.918,#N/A N/A,29.966,4637.7587,657.282,5.35,173.965
STJ UN Equity,St Jude Medical Inc,US,Health Care,52.86,53.69,-317,1012,3997,11125,1252,1077,21.923,69.8355,5533,26,28.921,14941.4223,1524,85,2525
SYK UN Equity,Stryker Corp,US,Health Care,99.15,99.88,-507,1177,8484,15917,907,655,17.0677,65.9965,9849,-51,22.573,37233.0278,2066,#N/A N/A,110
TSN UN Equity,Tyson Foods Inc,US,Consumer Staples,53.36,64.75,-147,1220,9706,23004,2570,1716,5.2425,9.4675,41373,#N/A N/A,30.471,21123.1627,2880,293,6037
AMAT UW Equity,Applied Materials Inc,US,Information Technology,17.65,18.87,-487,1377,7613,15308,1163,946,17.5277,40.9152,9659,#N/A N/A,29.014,20136.657,2064,103,-423
TWX UN Equity,Time Warner Inc,US,Consumer Discretionary,70.44,66.2,-1137,3694,23648,62674,3982,3567,24.0443,43.2152,28564,#N/A N/A,27.235,56315.3741,7594,1381,21182
CNA UN Equity,CNA Financial Corp,US,Financials,33.23,28.97,-812,747,12265,54812,1438,1325,12.2041,#N/A N/A,9210,#N/A N/A,18.525,8980.7604,#N/A N/A,162,2325
BBBY UW Equity,Bed Bath & Beyond Inc,US,Consumer Discretionary,43.17,47.95,0,906.598,2568.268,6651.306,1042.842,706.7,12.5551,38.6225,12013.537,#N/A N/A,28.185,7062.0701,1757.149,#N/A N/A,803.532
NEU UN Equity,NewMarket Corp,US,Materials,379.27,365.14,-69.043,236.744,376.181,1288.98,261.628,156.655,16.5773,30.9164,2210.086,#N/A N/A,22.671,4546.0116,408.044,14.825,397.244
CAH UN Equity,Cardinal Health Inc,US,Health Care,81.37,81.7,-472,1332,6646,31222,2427,2080,2.1734,5.5861,106514,#N/A N/A,26.606,26769.1904,2795,#N/A N/A,2576
CELG UW Equity,Celgene Corp,US,Health Care,100.32,100.83,0,1654.9001,5375.5,27369.2,2258.4,2059.7,23.9924,95.2393,8778.2,-266.1,44.841,78816.8636,2483.4,237.7,7992
CERN UW Equity,Cerner Corp,US,Health Care,58.01,51.06,0,521.126,3837.325,5522.925,817.879,562.504,18.1824,82.6531,4176.004,-214.344,26.994,19845.4958,1173.512,#N/A N/A,166.132
CINF UW Equity,Cincinnati Financial Corp,US,Financials,57.63,63.14,-288,645,6350,18751,995,985,18.5567,#N/A N/A,5141,#N/A N/A,19.112,9442.784,#N/A N/A,53,442
FIT UN Equity,Fitbit Inc,US,Information Technology,16.6,12.23,#N/A N/A,148.631,784.172,1262.457,#N/A N/A,#N/A N/A,20.4865,47.7154,1516.612,#N/A N/A,72.594,3513.7595,327.409,#N/A N/A,-575.478
EAT UN Equity,Brinker International Inc,US,Consumer Discretionary,49.74,49.8,-71.71,197.163,-108.14,1549.331,343.262,219.452,10.254,19.6954,3053.819,0.512,30.119,2962.2627,462.01,29.774,1062.904
CVC UN Equity,Cablevision Systems Corp,US,Consumer Discretionary,31.91,32.53,-165.202,199.306,-4957.744,6745.748,1263.737,398.035,13.1633,51.0083,6511.801,#N/A N/A,15.347,8829.4416,1752.231,#N/A N/A,8147.769
CDNS UW Equity,Cadence Design Systems Inc,US,Information Technology,19.56,21.55,0,237.073,1384.562,2331.14,387.416,341.471,16.5296,84.5251,1684.11,-26.167,26.615,5819.0218,397.72,36.072,-362.435
PACW UW Equity,PacWest Bancorp,US,Financials,36.71,32.18,-205.859,295.692,3581.704,16814.105,588.124,115.724,55.0293,#N/A N/A,919.092,#N/A N/A,30.21,4412.5957,#N/A N/A,61.007,751.62
DHI UN Equity,DR Horton Inc,US,Consumer Discretionary,27.51,26.72,-91.6,750.7,5895.4,11151,700.4,644.3,10.0943,21.6974,10823.9,0,36.786,10172.3363,1146.7,#N/A N/A,1949.8
CY UW Equity,Cypress Semiconductor Corp,US,Information Technology,7.86,7.98,-108.809,-303.035,2842.299,4081.932,-7.779,-52.767,-20.7233,26.1181,1341.822,-88.008,42.338,2623.8464,-100.421,#N/A N/A,402.999
FLS UN Equity,Flowserve Corp,US,Industrials,38.64,42.02,-91.831,355.322,1704.546,5158.255,575.802,388.253,13.4821,33.8426,4654.701,14.151,33.033,5056.783,754.095,62.728,1441.11
1396924D UW Equity,Liberty Media Corp,US,Consumer Discretionary,36.62,35.62,0,93,18442,30680,1199,995,20.141,62.3024,4682,#N/A N/A,22.785,12012.8712,1302,314,6195
EA UW Equity,Electronic Arts Inc,US,Information Technology,64.545,64.24,0,839,3159,6000,818,729,22.0605,71.8873,4329,75,37.116,20061.0914,1162,24,-2166
RBC UN Equity,Regal Beloit Corp,US,Industrials,56.21,54.58,-39.7,46.1,2030.5,4878.4,338.3,249.7,4.4507,25.6706,3511.8,#N/A N/A,28.802,2510.4175,311.5,53.7,1559.1
UHS UN Equity,Universal Health Services Inc,US,Health Care,112.64,110.37,-39.567,679.351,4443.929,9206.878,1142.821,791.454,14.1489,#N/A N/A,8904.503,-68.392,38.841,11080.914,1653.704,116.177,3055.314
ESRX UW Equity,Express Scripts Holding Co,US,Health Care,71.87,70.38,0,2284.7,16546.2,51996.5,4898.7,4612,3.9929,8.0801,101889,-1090.8,26.071,48603.9562,6380.7,499.2,15248.7
REGN UW Equity,Regeneron Pharmaceuticals Inc,US,Health Care,420.09,384.02,0,571.157,3296.867,5182.915,1232.907,615.211,32.4749,91.0359,3807.98,-560.195,41.094,43716.6779,1302.771,16.982,-1182.101
AGCO UN Equity,AGCO Corp,US,Industrials,48.77,49.49,-41.6,281.9,2973.5,7071.6,725.9,506.6,4.894,20.7819,7993.5,-28.5,35.793,4170.7983,655,#N/A N/A,1115.6
EXPD UW Equity,Expeditors International of Washington I,US,Industrials,45.12,45.78,-130.608,442.155,1842.192,2827.018,538.33,495.605,10.3305,14.5336,6789.241,-56.603,20.817,8410.9701,747.539,0,-976.943
SWKS UW Equity,Skyworks Solutions Inc,US,Information Technology,68.92,66.45,-123.1,798.3,3159.2,3719.4,992.8,562.7,31.3988,47.7075,3258.4,-222.2,48.293,13174.1333,1218.9,#N/A N/A,-1043.6
FAST UW Equity,Fastenal Co,US,Industrials,40.56,45.29,-320.018,522.848,1783.491,2495.277,568.435,403.046,21.6553,50.5062,3872.648,-35.475,26.82,11750.0357,918.33,2.421,203.225
OFC UN Equity,Corporate Office Properties Trust,US,Financials,22.3,23.4,-101.754,109.631,1599.515,3918.473,198.309,-276.268,21.8065,#N/A N/A,629.112,#N/A N/A,22.386,2108.0915,274.455,90.013,2117.4
MTB UN Equity,M&T Bank Corp,US,Financials,110.18,102.55,-455.501,996.869,12921.934,97797.062,1572.371,1506.866,37.0445,#N/A N/A,4853.651,#N/A N/A,27.665,19586.726,#N/A N/A,307.696,4385.102
ATVI UW Equity,Activision Blizzard Inc,US,Information Technology,34.82,31.67,-170,1083,7989,14302,1358,1246,30.8574,65.664,4887,158,31.009,25459.8212,2030,203,-441
FISV UW Equity,Fiserv Inc,US,Information Technology,94.56,95.63,0,704,2869,9387,1301,942,24.9712,44.2907,5202,-34,20.373,21610.6191,1715,172,3926
FITB UW Equity,Fifth Third Bancorp,US,Financials,15.8,15.26,-503,1352,15858,141918,2038,1805,31.8946,#N/A N/A,6562,#N/A N/A,31.634,12550.4326,#N/A N/A,492,16114
HFC UN Equity,HollyFrontier Corp,US,Energy,34.97,33.82,-348.803,560.163,6181.684,9071.637,856.004,186.419,6.4939,9.7501,14577.48,168.367,44.614,6396.2011,1302.718,41.94,356.062
RPM UN Equity,RPM International Inc,US,Materials,39.25,40.85,-138.826,240.22,1297.022,4661.407,462.276,376.928,11.1513,42.4316,4633.18,1.174,20.394,5213.6722,620.41,90.66,1562.733
JKHY UW Equity,Jack Henry & Associates Inc,US,Information Technology,81.18,82.24,-78.568,216.499,954.284,1714.197,407.338,361.506,25.6027,42.8743,1276.334,11.649,17.939,6488.6468,447.528,1.548,-83.378
FHN UN Equity,First Horizon National Corp,US,Financials,12.73,12.02,-69.374,79.758,2580.245,25387.319,326.726,292.296,10.3796,#N/A N/A,1232.924,#N/A N/A,27.018,2981.837,#N/A N/A,82.115,1372.39
GILD UW Equity,Gilead Sciences Inc,US,Health Care,83,87.25,-1260,16912,17944,50637,18475.667,17727.216,66.4674,87.2579,31447,-3361.03,30.901,119617.9546,21997.381,588,-2885
ICPT UW Equity,Intercept Pharmaceuticals Inc,US,Health Care,106.23,111.38,0,-173.0001,677.883,716.747,-129.3592,-135.7262,-6308.3632,#N/A N/A,2.7804,#N/A N/A,74.013,2584.738,-174.1064,#N/A N/A,-695.708
HAS UW Equity,Hasbro Inc,US,Consumer Discretionary,74.28,75.87,-222.459,445.986,1584.01,4580.246,497.143,364.137,15.3427,61.7121,4280.748,-220.757,29.719,9257.0373,815.831,95.974,1122.573
