Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30876389,06/17/2015 11:27:24 PM,06/18/2015 02:22:21 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1466 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST 171 STREET,EAST 172 STREET,,,ADDRESS,BRONX,,Precinct,Closed,06/18/2015 07:27:24 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2015 02:07:18 AM,04 BRONX,BRONX,1007568,245815,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.841349810978734,-73.91572605845745,"(40.841349810978734, -73.91572605845745)"
30872062,06/17/2015 11:27:19 PM,,DOT,Department of Transportation,Street Condition,Pothole,,10036,539 WEST   47 STREET,WEST   47 STREET,11 AVENUE,AMTRAK RR,,,ADDRESS,NEW YORK,,N/A,Open,,,06/17/2015 11:27:19 PM,04 MANHATTAN,MANHATTAN,985713,217429,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76346869339401,-73.99471873283503,"(40.76346869339401, -73.99471873283503)"
30868559,06/17/2015 11:26:35 PM,06/17/2015 11:26:43 PM,TLC,Taxi and Limousine Commission,Taxi Report,Driver Report,,10463,2600 NETHERLAND AVENUE,NETHERLAND AVENUE,KAPPOCK STREET,BEND,,,ADDRESS,BRONX,,N/A,Closed,,Your report has been sent to the Taxi and Limousine Commission (TLC). You are not available to participate in a hearing so TLC cannot take any action against the driver or car service company. No further information will be available for your report.,06/17/2015 11:26:43 PM,08 BRONX,BRONX,1007301,259469,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,La Guardia Airport,,,,,,,,40.878826618149866,-73.91664406885006,"(40.878826618149866, -73.91664406885006)"
30871137,06/17/2015 11:26:29 PM,06/17/2015 11:26:29 PM,DOT,Department of Transportation,Street Condition,Pothole,,10019,539 WEST   54 STREET,WEST   54 STREET,10 AVENUE,11 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,,06/17/2015 11:26:29 PM,04 MANHATTAN,MANHATTAN,986651,218997,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76777224294688,-73.99133209715681,"(40.76777224294688, -73.99133209715681)"
30873884,06/17/2015 11:26:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,,,,CLEARVIEW EXPY,NORTHERN BLVD,INTERSECTION,,,N/A,Open,,,,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
30876072,06/17/2015 11:25:51 PM,,DOT,Department of Transportation,Street Condition,Pothole,,10023,1976 BROADWAY,BROADWAY,WEST   66 STREET,WEST   67 STREET,,,ADDRESS,NEW YORK,,N/A,Open,,,06/17/2015 11:25:51 PM,07 MANHATTAN,MANHATTAN,989181,221447,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77449580460258,-73.9821966911451,"(40.77449580460258, -73.9821966911451)"
30876386,06/17/2015 11:25:02 PM,06/18/2015 02:43:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,,,,,PARK AVENUE,NOSTRAND AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,06/18/2015 07:25:02 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2015 12:27:20 AM,03 BROOKLYN,BROOKLYN,997304,193290,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69720354292441,-73.9529233478624,"(40.69720354292441, -73.9529233478624)"
30871709,06/17/2015 11:24:54 PM,,NYPD,New York City Police Department,Animal Abuse,Other (complaint details),Residential Building/House,11235,704 AVENUE X,AVENUE X,EAST 7 STREET,CONEY ISLAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Open,06/18/2015 07:24:54 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,15 BROOKLYN,BROOKLYN,994667,154738,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59139012674145,-73.96249269185516,"(40.59139012674145, -73.96249269185516)"
30868640,06/17/2015 11:24:17 PM,06/18/2015 02:10:26 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11418,85-17 104 STREET,104 STREET,85 AVENUE,86 AVENUE,,,ADDRESS,RICHMOND HILL,,Precinct,Closed,06/18/2015 07:24:17 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,06/18/2015 02:10:26 AM,09 QUEENS,QUEENS,1027383,193694,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.698216939711976,-73.84444698397513,"(40.698216939711976, -73.84444698397513)"
30873211,06/17/2015 11:24:13 PM,,DOT,Department of Transportation,Street Condition,Pothole,,10075,898 PARK AVENUE,PARK AVENUE,EAST   78 STREET,EAST   79 STREET,,,ADDRESS,NEW YORK,,N/A,Open,,,06/17/2015 11:24:13 PM,08 MANHATTAN,MANHATTAN,995163,221830,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.775541677840806,-73.96059814110919,"(40.775541677840806, -73.96059814110919)"
30873092,06/17/2015 11:24:11 PM,06/18/2015 01:07:45 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10039,,,,,FREDRICK DOUGLAS BOULEVARD,WEST  155 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,06/18/2015 07:24:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 01:07:45 AM,10 MANHATTAN,MANHATTAN,1001611,241370,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82916329411408,-73.93726683976101,"(40.82916329411408, -73.93726683976101)"
30876352,06/17/2015 11:22:47 PM,06/18/2015 01:16:29 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,320 STERLING STREET,STERLING STREET,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 07:22:47 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2015 01:16:29 AM,09 BROOKLYN,BROOKLYN,998073,180888,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.663161704647315,-73.95017554238143,"(40.663161704647315, -73.95017554238143)"
30873961,06/17/2015 11:22:26 PM,06/18/2015 12:44:25 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,445 WEST 125 STREET,WEST 125 STREET,BEND,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 07:22:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 12:44:25 AM,09 MANHATTAN,MANHATTAN,996529,235359,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.812673325798485,-73.95564140399364,"(40.812673325798485, -73.95564140399364)"
30873904,06/17/2015 11:21:00 PM,,DSNY,BCC - Manhattan,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Street,10029,177 EAST  104 STREET,EAST  104 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,DSNY Garage,Open,,,,11 MANHATTAN,MANHATTAN,999108,227306,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79056608866226,-73.94634244002941,"(40.79056608866226, -73.94634244002941)"
30870970,06/17/2015 11:20:58 PM,06/17/2015 11:25:01 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,Street/Sidewalk,11237,456 SUYDAM STREET,SUYDAM STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 07:20:58 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2015 11:25:01 PM,04 BROOKLYN,BROOKLYN,1006718,196827,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70689288094653,-73.91896184598184,"(40.70689288094653, -73.91896184598184)"
30872582,06/17/2015 11:20:48 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10451,340-342 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Pending,07/17/2015 11:20:48 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/17/2015 11:23:55 PM,01 BRONX,BRONX,1006299,236570,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.815978199375984,-73.92034275213888,"(40.815978199375984, -73.92034275213888)"
30874771,06/17/2015 11:20:35 PM,,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10017,423 MADISON AVENUE,MADISON AVENUE,EAST 48 STREET,EAST 49 STREET,,,ADDRESS,NEW YORK,,N/A,Open,06/27/2015 11:20:35 PM,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,05 MANHATTAN,MANHATTAN,990848,215083,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75702718413239,-73.97618425740784,"(40.75702718413239, -73.97618425740784)"
30875916,06/17/2015 11:20:31 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10305,300 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,SAND LANE,SEAVIEW AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Open,06/18/2015 07:20:31 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,95 STATEN ISLAND,STATEN ISLAND,965557,154113,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.589661037108975,-74.06730402271947,"(40.589661037108975, -74.06730402271947)"
30875355,06/17/2015 11:20:24 PM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10036,317 WEST 45 STREET,WEST 45 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,06/18/2015 07:20:24 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 12:10:30 AM,04 MANHATTAN,MANHATTAN,987260,215978,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75948567983112,-73.98913488475046,"(40.75948567983112, -73.98913488475046)"
30873064,06/17/2015 11:20:01 PM,06/18/2015 02:12:34 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10039,2931 8 AVENUE,8 AVENUE,MACOMBS DAM BRIDGE,HARLEM RIVER DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 07:20:01 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 02:12:34 AM,10 MANHATTAN,MANHATTAN,1001652,241451,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.829385535191285,-73.93711847812568,"(40.829385535191285, -73.93711847812568)"
30870869,06/17/2015 11:19:40 PM,06/18/2015 03:18:42 AM,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11364,,,,,218 STREET,64 AVENUE,INTERSECTION,OAKLAND GARDENS,,Precinct,Closed,06/18/2015 07:19:40 AM,The Police Department responded to the complaint and took action to fix the condition.,06/18/2015 03:18:17 AM,11 QUEENS,QUEENS,1051057,211332,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.746481746274036,-73.75889535391372,"(40.746481746274036, -73.75889535391372)"
30876336,06/17/2015 11:19:19 PM,06/18/2015 12:55:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10024,509 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 84 STREET,WEST 85 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,06/18/2015 07:19:19 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2015 12:55:56 AM,07 MANHATTAN,MANHATTAN,990965,225878,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78665655078377,-73.97575115492488,"(40.78665655078377, -73.97575115492488)"
30871374,06/17/2015 11:19:09 PM,,DOT,Department of Transportation,Street Condition,Cave-in,Street,11375,67-45 CLYDE STREET,CLYDE STREET,67 AVENUE,YELLOWSTONE BOULEVARD,,,ADDRESS,FOREST HILLS,,N/A,Open,06/27/2015 11:19:09 PM,The Department of Transportation requires 10 days to respond to this type of complaint.  Please note your Service Request number for future reference.,,06 QUEENS,QUEENS,1024306,202341,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72196533320945,-73.8554922809859,"(40.72196533320945, -73.8554922809859)"
30872240,06/17/2015 11:17:57 PM,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11105,24-12 21 AVENUE,21 AVENUE,24 STREET,CRESCENT STREET,,,ADDRESS,ASTORIA,,N/A,Open,07/17/2015 11:17:57 PM,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint. Please note your Service Request number for future reference.,,01 QUEENS,QUEENS,1008415,223817,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78096917125668,-73.91274409824722,"(40.78096917125668, -73.91274409824722)"
30871178,06/17/2015 11:17:22 PM,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11105,24-15 21 AVENUE,21 AVENUE,24 STREET,CRESCENT STREET,,,ADDRESS,ASTORIA,,N/A,Open,07/17/2015 11:17:22 PM,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint. Please note your Service Request number for future reference.,,01 QUEENS,QUEENS,1008422,223819,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.780974641583065,-73.91271881520188,"(40.780974641583065, -73.91271881520188)"
30869577,06/17/2015 11:17:22 PM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,4061 ELY AVENUE,ELY AVENUE,EAST 233 STREET,EDENWALD AVENUE,,,ADDRESS,BRONX,,Precinct,Open,06/18/2015 07:17:22 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,12 BRONX,BRONX,1026868,263986,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.89115155439469,-73.84585818287383,"(40.89115155439469, -73.84585818287383)"
30873510,06/17/2015 11:16:35 PM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11432,160-02 NORMAL ROAD,NORMAL ROAD,160 STREET,161 STREET,,,ADDRESS,JAMAICA,,Precinct,Assigned,06/18/2015 07:16:35 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 02:41:22 AM,08 QUEENS,QUEENS,1038566,198202,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.710528735589925,-73.80408084798275,"(40.710528735589925, -73.80408084798275)"
30874511,06/17/2015 11:16:26 PM,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11105,20-01 27 STREET,27 STREET,20 AVENUE,21 AVENUE,,,ADDRESS,ASTORIA,,N/A,Open,07/17/2015 11:16:26 PM,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint. Please note your Service Request number for future reference.,,01 QUEENS,QUEENS,1009480,223903,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78120224242657,-73.90889823547073,"(40.78120224242657, -73.90889823547073)"
30872637,06/17/2015 11:16:21 PM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11103,32-72 STEINWAY STREET,STEINWAY STREET,BROADWAY,34 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Assigned,06/18/2015 07:16:21 AM,Your complaint has been received by the Police Department and additional information will be available later.,06/18/2015 01:19:39 AM,01 QUEENS,QUEENS,1006310,215191,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75729855854012,-73.92037322099308,"(40.75729855854012, -73.92037322099308)"
30872835,06/17/2015 11:15:13 PM,06/17/2015 11:23:57 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,921 BROADWAY,BROADWAY,STOCKTON STREET,MELROSE STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2015 07:15:13 AM,The Police Department responded to the complaint and determined that police action was not necessary.,06/17/2015 11:23:57 PM,04 BROOKLYN,BROOKLYN,1001951,193402,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.697502881906864,-73.93616457832579,"(40.697502881906864, -73.93616457832579)"
30871447,06/17/2015 11:13:39 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10451,335E EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Pending,07/17/2015 11:13:39 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/17/2015 11:16:29 PM,01 BRONX,BRONX,1006240,236617,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.816107348218914,-73.92055574953606,"(40.816107348218914, -73.92055574953606)"
30870835,06/17/2015 11:13:00 PM,,DEP,Department of Environmental Protection,Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",,10281,,,,,LIBERTY STREET,SOUTH END AVENUE,INTERSECTION,NEW YORK,,N/A,Open,,,,01 MANHATTAN,MANHATTAN,979874,198521,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.711569953213036,-74.01578457344797,"(40.711569953213036, -74.01578457344797)"
30876268,06/17/2015 11:13:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Temporary,,11232,,,,,3 AVENUE,35 STREET,INTERSECTION,BROOKLYN,,N/A,Open,,,,07 BROOKLYN,BROOKLYN,982629,178306,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.656085324928256,-74.00584221040451,"(40.656085324928256, -74.00584221040451)"
30868687,06/17/2015 11:12:08 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,,1ST AVE,1ST AVE,EAST 28 STREET,,,,,,,N/A,Open,07/01/2015 11:12:08 PM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,,Unspecified MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,,,
30873149,06/17/2015 11:10:37 PM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,,07310,260 1 ST,1 ST,,,,,,JERSEY CITY,,N/A,Open,07/01/2015 11:10:37 PM,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,Other,,,,,,,,,,
30871888,06/17/2015 11:10:26 PM,06/17/2015 11:10:47 PM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,11377,42-25 65 PLACE,65 PLACE,WOODSIDE AVENUE,LONG ISLAND RAILROAD,,,ADDRESS,WOODSIDE,,N/A,Closed,06/18/2015 01:10:26 AM,"Your request was submitted to the Department of Homeless Services. The City’s outreach team will assess the homeless individual and offer appropriate assistance within 2 hours. If you asked to know the outcome of your request, you will get a call within 2 hours. No further status will be available through the NYC 311 App, 311, or 311 Online.",,02 QUEENS,QUEENS,1012180,209909,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.742784216800565,-73.89920708874402,"(40.742784216800565, -73.89920708874402)"
30872068,06/17/2015 11:10:06 PM,06/18/2015 01:41:04 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11372,37-15 73 STREET,73 STREET,37 AVENUE,37 ROAD,,,ADDRESS,JACKSON HEIGHTS,,Precinct,Closed,06/18/2015 07:10:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2015 01:41:04 AM,03 QUEENS,QUEENS,1014002,211969,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74843245435422,-73.89262280574755,"(40.74843245435422, -73.89262280574755)"
30870026,06/17/2015 11:10:00 PM,,DSNY,A - Queens,Other Enforcement,E6 Commercial Waste Disposal,Sidewalk,11432,168-25A HILLSIDE AVENUE,HILLSIDE AVENUE,168 STREET,168 PLACE,,,ADDRESS,Jamaica,,N/A,Open,,,,08 QUEENS,QUEENS,1041341,198121,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71028893980158,-73.79407207734761,"(40.71028893980158, -73.79407207734761)"
30874142,06/17/2015 11:08:01 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211,708 LORIMER STREET,LORIMER STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,07/17/2015 11:08:01 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/17/2015 11:09:59 PM,01 BROOKLYN,BROOKLYN,998176,200897,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71808162693567,-73.94976292121271,"(40.71808162693567, -73.94976292121271)"
30873736,06/17/2015 11:07:37 PM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11235,3120 BRIGHTON 5 STREET,BRIGHTON 5 STREET,BRIGHTON BEACH AVENUE,BRIGHTWATER COURT,,,ADDRESS,BROOKLYN,,Precinct,Open,06/18/2015 07:07:37 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,13 BROOKLYN,BROOKLYN,994732,149417,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57678496246616,-73.96226690651686,"(40.57678496246616, -73.96226690651686)"
30875573,06/17/2015 11:07:31 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10451,335E EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Pending,07/17/2015 11:07:31 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,06/17/2015 11:09:58 PM,01 BRONX,BRONX,1006240,236617,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.816107348218914,-73.92055574953606,"(40.816107348218914, -73.92055574953606)"
