customerid,datecreated,source,mailinglist,testgroup,orgid,parentid
5917,1345619463, GUEST_INVITE       ,0,0,36,2132
8283,1345629180, SIGNUP             ,0,0,34,               NULL 
11128,1345635922, GUEST_INVITE       ,0,0,25,9332
9609,1345636050, SIGNUP_GOOGLE_AUTH ,0,0,109,               NULL 
5975,1345655502, GUEST_INVITE       ,0,0,203,7698
2751,1345656404, GUEST_INVITE       ,0,0,178,10680
9702,1345657004, ORG_INVITE         ,0,0,19,9349
1634,1345658670, SIGNUP             ,0,0,3,               NULL 
4402,1345664942, SIGNUP_GOOGLE_AUTH ,0,0,62,               NULL 
9400,1345667977, GUEST_INVITE       ,0,0,320,2771
4662,1345671359, SIGNUP_GOOGLE_AUTH ,0,0,167,               NULL 
3556,1345672196, GUEST_INVITE       ,1,0,64,5897
2855,1345688995, ORG_INVITE         ,0,0,203,7698
2744,1345692111, PERSONAL_PROJECTS  ,1,0,179,               NULL 
10307,1345710625, ORG_INVITE         ,0,0,63,10307
4363,1345714373, PERSONAL_PROJECTS  ,0,0,41,               NULL 
3221,1345720227, ORG_INVITE         ,0,0,12,5204
10158,1345733544, SIGNUP             ,1,0,3,               NULL 
2053,1345738152, GUEST_INVITE       ,0,0,29,8804
2983,1345744464, ORG_INVITE         ,1,0,90,11712
6237,1345750761, ORG_INVITE         ,0,0,2,4202
5097,1345779099, GUEST_INVITE       ,0,0,403,8679
7643,1345780635, ORG_INVITE         ,1,0,347,3958
1758,1345782968, GUEST_INVITE       ,0,0,105,1758
2547,1345783720, GUEST_INVITE       ,0,0,135,730
2253,1345789632, SIGNUP             ,1,0,292,               NULL 
8928,1345792533, SIGNUP_GOOGLE_AUTH ,0,0,67,               NULL 
3335,1345800606, ORG_INVITE         ,0,0,332,1280
509,1345807231, GUEST_INVITE       ,0,0,98,6241
7421,1345816809, ORG_INVITE         ,0,0,208,2795
10891,1345819596, SIGNUP             ,0,0,6,               NULL 
2954,1345821614, SIGNUP             ,0,0,15,               NULL 
6064,1345822689, SIGNUP             ,0,0,109,               NULL 
2655,1345829507, PERSONAL_PROJECTS  ,1,1,170,               NULL 
288,1345833977, PERSONAL_PROJECTS  ,1,0,131,               NULL 
4897,1345836321, SIGNUP             ,0,0,8,               NULL 
10596,1345841694, SIGNUP_GOOGLE_AUTH ,0,0,403,               NULL 
548,1345842507, ORG_INVITE         ,1,1,335,548
893,1345843498, PERSONAL_PROJECTS  ,1,1,327,               NULL 
2156,1345845638, PERSONAL_PROJECTS  ,0,0,122,               NULL 
3974,1345854724, PERSONAL_PROJECTS  ,0,0,48,               NULL 
4344,1345874764, SIGNUP             ,0,0,2,               NULL 
5788,1345883404, ORG_INVITE         ,0,0,50,7194
7920,1345892563, GUEST_INVITE       ,0,0,110,7920
2698,1345919025, PERSONAL_PROJECTS  ,1,0,412,               NULL 
6027,1345922373, SIGNUP             ,1,0,7,               NULL 
1735,1345930735, SIGNUP_GOOGLE_AUTH ,0,1,2,               NULL 
521,1345951333, SIGNUP             ,0,0,74,               NULL 
3065,1345963124, ORG_INVITE         ,1,1,228,3065
3375,1345977692, SIGNUP_GOOGLE_AUTH ,1,1,287,               NULL 
9838,1345999035, GUEST_INVITE       ,0,0,108,6808
5891,1346001403, GUEST_INVITE       ,1,1,0,7290
2539,1346009201, SIGNUP_GOOGLE_AUTH ,0,0,41,               NULL 
6051,1346012448, ORG_INVITE         ,0,0,14,8377
4113,1346012708, PERSONAL_PROJECTS  ,0,0,1,               NULL 
4738,1346025186, ORG_INVITE         ,0,0,308,4738
2206,1346039724, GUEST_INVITE       ,0,0,363,2632
7026,1346048901, ORG_INVITE         ,1,0,87,10308
2367,1346051239, ORG_INVITE         ,1,0,395,2367
2446,1346058833, GUEST_INVITE       ,0,0,299,3704
9571,1346063346, GUEST_INVITE       ,0,0,388,9481
4635,1346064566, ORG_INVITE         ,0,0,18,2927
4766,1346070974, PERSONAL_PROJECTS  ,1,1,71,               NULL 
1544,1346074556, SIGNUP_GOOGLE_AUTH ,0,0,309,               NULL 
8906,1346086794, ORG_INVITE         ,0,0,248,7437
8807,1346088931, SIGNUP             ,1,0,101,               NULL 
3715,1346092006, ORG_INVITE         ,0,0,0,4427
5225,1346096898, GUEST_INVITE       ,0,0,109,6317
9602,1346097626, SIGNUP_GOOGLE_AUTH ,0,0,314,               NULL 
5785,1346105374, PERSONAL_PROJECTS  ,0,0,93,               NULL 
11005,1346107069, PERSONAL_PROJECTS  ,0,0,7,               NULL 
697,1346118059, GUEST_INVITE       ,1,0,72,697
3856,1346122519, ORG_INVITE         ,0,0,65,11251
109,1346131102, SIGNUP             ,1,0,118,               NULL 
1168,1346167808, ORG_INVITE         ,0,0,175,1168
6101,1346177442, SIGNUP             ,1,0,329,               NULL 
1709,1346184719, SIGNUP             ,0,0,161,               NULL 
3551,1346186603, ORG_INVITE         ,0,0,0,5801
10139,1346190285, SIGNUP             ,1,0,21,               NULL 
9738,1346259723, PERSONAL_PROJECTS  ,0,0,171,               NULL 
5013,1346262934, GUEST_INVITE       ,0,0,59,1814
2519,1346269590, SIGNUP_GOOGLE_AUTH ,1,0,235,               NULL 
8611,1346270260, ORG_INVITE         ,0,0,241,1440
4858,1346278837, ORG_INVITE         ,0,0,228,4858
5177,1346283279, GUEST_INVITE       ,0,0,76,8504
3553,1346292444, ORG_INVITE         ,0,1,360,3553
316,1346295516, ORG_INVITE         ,1,0,1,9001
7926,1346303040, SIGNUP_GOOGLE_AUTH ,0,0,78,               NULL 
545,1346305886, GUEST_INVITE       ,0,0,405,10997
8686,1346307113, SIGNUP             ,0,0,0,               NULL 
205,1346309172, PERSONAL_PROJECTS  ,0,0,0,               NULL 
7493,1346316130, PERSONAL_PROJECTS  ,0,0,133,               NULL 
7665,1346318440, ORG_INVITE         ,0,0,157,4922
6169,1346318460, ORG_INVITE         ,0,0,389,11236
5682,1346322133, SIGNUP_GOOGLE_AUTH ,0,0,324,               NULL 
10881,1346329444, ORG_INVITE         ,0,0,6,11999
9770,1346334811, ORG_INVITE         ,1,1,32,4538
9384,1346334867, ORG_INVITE         ,1,1,328,5818
1234,1346348673, GUEST_INVITE       ,0,0,0,7091
1252,1346355240, SIGNUP             ,0,0,16,               NULL 
1359,1346364440, ORG_INVITE         ,0,0,2,11517
3763,1346367288, SIGNUP             ,0,0,320,               NULL 
3625,1346371099, ORG_INVITE         ,0,0,163,2938
7949,1346372445, SIGNUP             ,1,1,256,               NULL 
7377,1346384496, ORG_INVITE         ,0,0,2,5793
4736,1346386038, PERSONAL_PROJECTS  ,0,0,28,               NULL 
1919,1346387805, GUEST_INVITE       ,0,0,166,1437
11931,1346392794, ORG_INVITE         ,0,0,37,3641
10832,1346399319, SIGNUP             ,0,0,116,               NULL 
909,1346402817, ORG_INVITE         ,1,1,99,909
7312,1346404383, GUEST_INVITE       ,1,0,5,2981
7737,1346415939, SIGNUP_GOOGLE_AUTH ,1,1,147,               NULL 
10837,1346428291, GUEST_INVITE       ,0,0,4,5920
10102,1346440592, PERSONAL_PROJECTS  ,0,0,8,               NULL 
9016,1346440849, SIGNUP             ,0,0,172,               NULL 
2716,1346443413, ORG_INVITE         ,0,0,410,1697
2007,1346444549, GUEST_INVITE       ,0,0,201,4582
7683,1346446130, PERSONAL_PROJECTS  ,0,0,133,               NULL 
11305,1346455369, PERSONAL_PROJECTS  ,0,0,17,               NULL 
229,1346466343, ORG_INVITE         ,1,0,242,229
497,1346467185, GUEST_INVITE       ,0,0,65,793
11836,1346467259, ORG_INVITE         ,0,0,209,7168
8771,1346475570, SIGNUP_GOOGLE_AUTH ,0,0,324,               NULL 
4744,1346484129, ORG_INVITE         ,1,0,326,4744
11224,1346484129, ORG_INVITE         ,1,0,36,3382
9042,1346485910, PERSONAL_PROJECTS  ,0,0,217,               NULL 
2447,1346499613, SIGNUP             ,0,0,233,               NULL 
3400,1346500690, ORG_INVITE         ,1,0,19,9349
8329,1346502902, ORG_INVITE         ,0,0,18,2927
6935,1346505742, ORG_INVITE         ,0,0,223,860
1549,1346533509, PERSONAL_PROJECTS  ,0,0,28,               NULL 
7274,1346539402, ORG_INVITE         ,0,0,61,50
3812,1346539975, SIGNUP_GOOGLE_AUTH ,1,0,1,               NULL 
5834,1346552115, PERSONAL_PROJECTS  ,0,0,66,               NULL 
3932,1346558890, ORG_INVITE         ,1,1,62,4402
7816,1346563233, GUEST_INVITE       ,1,0,13,9724
1335,1346568083, SIGNUP_GOOGLE_AUTH ,0,0,111,               NULL 
651,1346569234, SIGNUP             ,0,0,344,               NULL 
3071,1346576205, PERSONAL_PROJECTS  ,0,0,7,               NULL 
11337,1346581240, ORG_INVITE         ,0,0,24,11085
4780,1346584043, ORG_INVITE         ,0,0,73,7840
5353,1346592866, PERSONAL_PROJECTS  ,0,0,226,               NULL 
9916,1346597574, SIGNUP_GOOGLE_AUTH ,1,0,272,               NULL 
8487,1346611419, GUEST_INVITE       ,0,0,5,11532
3691,1346612070, ORG_INVITE         ,0,1,261,8610
3373,1346619926, SIGNUP_GOOGLE_AUTH ,1,1,266,               NULL 
10228,1346620636, GUEST_INVITE       ,1,1,133,7683
8019,1346622242, ORG_INVITE         ,1,0,184,7541
3775,1346629955, ORG_INVITE         ,0,0,307,7836
3269,1346634235, GUEST_INVITE       ,1,1,148,3269
10613,1346641991, SIGNUP             ,0,0,47,               NULL 
5727,1346654002, SIGNUP             ,0,0,0,               NULL 
3011,1346658302, ORG_INVITE         ,0,0,243,3011
962,1346665332, SIGNUP_GOOGLE_AUTH ,1,0,208,               NULL 
306,1346670730, PERSONAL_PROJECTS  ,0,0,20,               NULL 
1455,1346671190, GUEST_INVITE       ,0,0,317,8280
4827,1346692274, PERSONAL_PROJECTS  ,1,0,185,               NULL 
5942,1346697865, PERSONAL_PROJECTS  ,1,0,300,               NULL 
1613,1346702602, GUEST_INVITE       ,0,0,5,4596
4255,1346703017, PERSONAL_PROJECTS  ,0,1,232,               NULL 
5204,1346703029, PERSONAL_PROJECTS  ,0,0,12,               NULL 
9956,1346705349, SIGNUP             ,1,1,392,               NULL 
5224,1346709735, SIGNUP             ,0,0,176,               NULL 
1814,1346713787, SIGNUP_GOOGLE_AUTH ,0,0,59,               NULL 
116,1346722816, ORG_INVITE         ,0,0,0,8212
11522,1346724092, SIGNUP             ,0,1,403,               NULL 
11240,1346749884, SIGNUP_GOOGLE_AUTH ,0,0,157,               NULL 
6308,1346755602, PERSONAL_PROJECTS  ,0,0,10,               NULL 
2263,1346765917, ORG_INVITE         ,0,0,406,9785
8373,1346777863, SIGNUP             ,0,0,103,               NULL 
2692,1346777908, ORG_INVITE         ,0,0,29,2692
8528,1346792322, PERSONAL_PROJECTS  ,0,0,371,               NULL 
7626,1346799244, GUEST_INVITE       ,0,0,1,577
1127,1346799569, PERSONAL_PROJECTS  ,1,1,248,               NULL 
1097,1346814038, ORG_INVITE         ,0,0,82,2453
9795,1346814963, SIGNUP_GOOGLE_AUTH ,0,0,330,               NULL 
321,1346815659, SIGNUP             ,0,0,382,               NULL 
8036,1346819661, SIGNUP             ,0,0,25,               NULL 
10945,1346822414, ORG_INVITE         ,0,0,56,5386
7511,1346822923, ORG_INVITE         ,0,0,206,7222
9134,1346823743, ORG_INVITE         ,0,0,0,116
5258,1346834975, SIGNUP_GOOGLE_AUTH ,1,1,376,               NULL 
8494,1346839047, ORG_INVITE         ,1,0,53,2126
6362,1346840136, PERSONAL_PROJECTS  ,0,0,176,               NULL 
11785,1346842946, GUEST_INVITE       ,1,1,171,2139
1293,1346863269, ORG_INVITE         ,1,0,19,4545
7148,1346870248, ORG_INVITE         ,0,0,5,11074
485,1346874172, PERSONAL_PROJECTS  ,0,0,411,               NULL 
447,1346906423, PERSONAL_PROJECTS  ,0,0,319,               NULL 
4027,1346908967, PERSONAL_PROJECTS  ,0,0,272,               NULL 
1398,1346911920, PERSONAL_PROJECTS  ,1,0,91,               NULL 
2842,1346919160, PERSONAL_PROJECTS  ,0,0,179,               NULL 
10059,1346923886, PERSONAL_PROJECTS  ,1,1,15,               NULL 
1865,1346943987, SIGNUP_GOOGLE_AUTH ,0,0,415,               NULL 
11428,1346960357, GUEST_INVITE       ,1,0,13,7816
9997,1346968449, PERSONAL_PROJECTS  ,0,0,7,               NULL 
2776,1346983946, ORG_INVITE         ,0,0,24,11085
7348,1346990496, GUEST_INVITE       ,0,0,6,1654
8011,1346991460, ORG_INVITE         ,1,0,79,8011
8670,1346994291, SIGNUP_GOOGLE_AUTH ,0,0,4,               NULL 
5252,1347000384, PERSONAL_PROJECTS  ,0,0,3,               NULL 
3305,1347029640, ORG_INVITE         ,0,0,368,2734
10126,1347039303, GUEST_INVITE       ,0,0,199,4340
8177,1347046698, GUEST_INVITE       ,0,0,12,1488
10447,1347047787, ORG_INVITE         ,1,0,9,6123
10194,1347048199, ORG_INVITE         ,1,1,157,7665
6917,1347055189, SIGNUP_GOOGLE_AUTH ,0,0,237,               NULL 
3722,1347073333, PERSONAL_PROJECTS  ,1,1,1,               NULL 
3122,1347074765, ORG_INVITE         ,0,0,27,1806
9676,1347080070, ORG_INVITE         ,0,0,101,5885
950,1347083078, SIGNUP             ,1,0,133,               NULL 
10258,1347093010, SIGNUP             ,0,0,391,               NULL 
7979,1347121076, ORG_INVITE         ,0,0,38,11768
1512,1347123118, PERSONAL_PROJECTS  ,0,0,110,               NULL 
3241,1347129684, PERSONAL_PROJECTS  ,0,0,37,               NULL 
8253,1347134490, SIGNUP             ,0,0,292,               NULL 
4274,1347135869, SIGNUP             ,1,0,64,               NULL 
2468,1347141103, ORG_INVITE         ,0,0,27,11078
387,1347158728, SIGNUP             ,1,0,152,               NULL 
3247,1347168274, ORG_INVITE         ,1,0,11,2739
4985,1347177080, ORG_INVITE         ,0,0,206,3780
5376,1347183600, GUEST_INVITE       ,1,0,228,5376
9953,1347186469, SIGNUP_GOOGLE_AUTH ,1,0,5,               NULL 
10901,1347209724, SIGNUP             ,0,0,214,               NULL 
2251,1347215000, ORG_INVITE         ,0,0,69,10846
4859,1347224096, ORG_INVITE         ,0,0,0,5371
5630,1347229003, PERSONAL_PROJECTS  ,0,0,14,               NULL 
1561,1347239038, GUEST_INVITE       ,0,0,274,3314
3649,1347241236, ORG_INVITE         ,0,0,74,7716
9126,1347244481, SIGNUP             ,1,0,21,               NULL 
5747,1347258810, PERSONAL_PROJECTS  ,0,0,213,               NULL 
93,1347264438, ORG_INVITE         ,0,0,53,2126
1940,1347266620, ORG_INVITE         ,0,0,92,2184
5677,1347269652, SIGNUP             ,0,0,239,               NULL 
11470,1347272865, PERSONAL_PROJECTS  ,1,1,0,               NULL 
4299,1347274262, ORG_INVITE         ,1,1,372,6675
1053,1347280281, ORG_INVITE         ,0,0,84,11994
8044,1347282012, ORG_INVITE         ,0,0,215,8375
7291,1347289466, GUEST_INVITE       ,0,0,396,7291
10793,1347301877, SIGNUP             ,0,0,40,               NULL 
8721,1347307215, ORG_INVITE         ,0,0,76,6311
1095,1347310557, SIGNUP             ,0,0,312,               NULL 
4785,1347312097, SIGNUP_GOOGLE_AUTH ,0,0,289,               NULL 
2559,1347313557, SIGNUP_GOOGLE_AUTH ,0,0,132,               NULL 
6215,1347316531, ORG_INVITE         ,0,0,158,6215
10735,1347321555, PERSONAL_PROJECTS  ,0,0,6,               NULL 
1509,1347324141, SIGNUP             ,0,0,35,               NULL 
11264,1347327953, GUEST_INVITE       ,0,0,73,6639
936,1347328441, PERSONAL_PROJECTS  ,0,0,125,               NULL 
9120,1347338227, GUEST_INVITE       ,0,0,288,2457
8031,1347339601, SIGNUP             ,1,1,189,               NULL 
7890,1347354014, SIGNUP_GOOGLE_AUTH ,0,0,206,               NULL 
3471,1347358606, PERSONAL_PROJECTS  ,0,0,2,               NULL 
10352,1347372051, ORG_INVITE         ,0,0,17,2806
4528,1347385472, ORG_INVITE         ,0,0,396,7291
1862,1347392433, ORG_INVITE         ,1,1,12,5204
3397,1347399322, SIGNUP             ,0,0,343,               NULL 
9799,1347403444, ORG_INVITE         ,1,1,26,9264
895,1347405487, SIGNUP_GOOGLE_AUTH ,1,1,194,               NULL 
8549,1347406586, ORG_INVITE         ,1,1,341,11114
10132,1347412083, SIGNUP             ,0,0,125,               NULL 
10722,1347423459, SIGNUP             ,1,1,150,               NULL 
11900,1347425710, PERSONAL_PROJECTS  ,0,0,4,               NULL 
10902,1347444703, ORG_INVITE         ,0,0,71,3537
3009,1347448368, SIGNUP             ,0,0,271,               NULL 
1997,1347471299, SIGNUP_GOOGLE_AUTH ,0,0,88,               NULL 
8429,1347473537, PERSONAL_PROJECTS  ,1,0,5,               NULL 
10371,1347482712, ORG_INVITE         ,0,0,33,3627
5106,1347485702, SIGNUP             ,0,0,79,               NULL 
5102,1347492372, SIGNUP             ,0,0,28,               NULL 
147,1347500841, ORG_INVITE         ,0,0,1,10368
3228,1347502444, SIGNUP_GOOGLE_AUTH ,0,0,332,               NULL 
3240,1347513453, ORG_INVITE         ,0,0,339,1084
4289,1347516271, ORG_INVITE         ,0,0,109,6805
4978,1347519110, ORG_INVITE         ,0,0,169,11447
7001,1347520114, ORG_INVITE         ,0,0,162,11297
8730,1347521417, GUEST_INVITE       ,1,1,60,11021
8468,1347524392, SIGNUP             ,1,0,128,               NULL 
3734,1347528610, GUEST_INVITE       ,1,0,23,959
149,1347530054, ORG_INVITE         ,0,0,63,7027
4405,1347530757, GUEST_INVITE       ,0,0,15,2954
6815,1347535933, SIGNUP             ,0,0,29,               NULL 
2472,1347549164, ORG_INVITE         ,0,0,250,7572
4615,1347551876, ORG_INVITE         ,1,1,0,10215
3298,1347553925, GUEST_INVITE       ,1,0,88,9480
5983,1347563564, ORG_INVITE         ,1,0,125,2714
11972,1347578591, ORG_INVITE         ,0,0,16,7012
3740,1347583978, SIGNUP             ,0,0,32,               NULL 
5293,1347593334, ORG_INVITE         ,0,0,42,5293
8875,1347596586, SIGNUP_GOOGLE_AUTH ,0,0,4,               NULL 
6078,1347601367, GUEST_INVITE       ,0,0,392,6078
9859,1347609242, ORG_INVITE         ,0,1,275,1903
3939,1347611461, ORG_INVITE         ,0,0,23,8757
4776,1347611782, ORG_INVITE         ,0,0,105,1758
11716,1347632263, ORG_INVITE         ,1,1,406,3139
10441,1347636403, PERSONAL_PROJECTS  ,1,0,408,               NULL 
5872,1347639815, SIGNUP             ,1,0,103,               NULL 
11872,1347654050, GUEST_INVITE       ,0,1,59,8369
9066,1347656481, SIGNUP_GOOGLE_AUTH ,0,0,2,               NULL 
4594,1347657162, GUEST_INVITE       ,1,1,378,4594
9392,1347658503, SIGNUP             ,0,1,0,               NULL 
11822,1347658503, ORG_INVITE         ,0,0,331,1114
9486,1347661736, SIGNUP_GOOGLE_AUTH ,1,1,331,               NULL 
6061,1347670435, ORG_INVITE         ,0,0,324,5682
6114,1347672157, SIGNUP_GOOGLE_AUTH ,0,0,323,               NULL 
10039,1347674042, PERSONAL_PROJECTS  ,0,0,6,               NULL 
1553,1347685158, SIGNUP             ,1,1,24,               NULL 
4006,1347687161, SIGNUP_GOOGLE_AUTH ,0,0,14,               NULL 
7390,1347689150, GUEST_INVITE       ,0,1,50,1344
9148,1347693129, ORG_INVITE         ,0,0,16,78
5253,1347696859, ORG_INVITE         ,1,0,258,4510
3367,1347701743, GUEST_INVITE       ,0,0,190,8424
4866,1347704027, ORG_INVITE         ,1,1,131,6895
11649,1347706264, GUEST_INVITE       ,0,0,3,10370
6986,1347708451, PERSONAL_PROJECTS  ,0,0,80,               NULL 
9819,1347720590, PERSONAL_PROJECTS  ,0,0,105,               NULL 
9540,1347733384, SIGNUP             ,0,0,343,               NULL 
5496,1347746209, SIGNUP             ,0,0,133,               NULL 
294,1347749385, ORG_INVITE         ,0,0,332,5144
5543,1347749857, ORG_INVITE         ,0,0,59,7254
6394,1347754949, PERSONAL_PROJECTS  ,0,0,33,               NULL 
6794,1347763062, ORG_INVITE         ,0,0,12,1862
5684,1347769386, ORG_INVITE         ,0,0,0,9292
3726,1347770841, ORG_INVITE         ,1,0,95,3726
1964,1347778565, SIGNUP             ,0,0,109,               NULL 
6170,1347798336, GUEST_INVITE       ,0,0,13,6170
10868,1347799592, SIGNUP             ,0,0,51,               NULL 
6590,1347803486, ORG_INVITE         ,0,0,170,2655
6292,1347804413, ORG_INVITE         ,0,0,167,4662
5698,1347806962, PERSONAL_PROJECTS  ,0,0,10,               NULL 
4803,1347817311, ORG_INVITE         ,0,0,119,5826
3254,1347844899, ORG_INVITE         ,0,0,53,3254
2734,1347846322, PERSONAL_PROJECTS  ,0,0,368,               NULL 
3821,1347846814, SIGNUP             ,0,0,265,               NULL 
1027,1347847997, ORG_INVITE         ,0,0,269,5401
11493,1347850202, PERSONAL_PROJECTS  ,0,0,0,               NULL 
389,1347857403, GUEST_INVITE       ,0,0,191,10988
10730,1347859975, GUEST_INVITE       ,0,0,71,5739
11158,1347860341, GUEST_INVITE       ,0,0,154,870
10325,1347867075, SIGNUP             ,0,0,233,               NULL 
959,1347868385, ORG_INVITE         ,1,0,23,9259
3420,1347877630, ORG_INVITE         ,0,0,182,3643
4864,1347882667, ORG_INVITE         ,1,1,90,5422
8657,1347884072, GUEST_INVITE       ,1,1,34,4369
7589,1347895327, ORG_INVITE         ,1,1,246,8681
5501,1347906859, SIGNUP             ,0,0,265,               NULL 
3960,1347910352, ORG_INVITE         ,1,1,298,9582
6037,1347937055, GUEST_INVITE       ,1,0,334,2765
9598,1347939035, GUEST_INVITE       ,0,0,344,3415
8020,1347944487, GUEST_INVITE       ,1,0,25,9332
7899,1347946594, GUEST_INVITE       ,0,0,400,4276
1112,1347961775, SIGNUP             ,1,0,156,               NULL 
2183,1347963197, ORG_INVITE         ,0,0,34,6102
11835,1347969282, SIGNUP             ,1,1,259,               NULL 
1953,1347987345, PERSONAL_PROJECTS  ,0,0,342,               NULL 
9548,1347995870, PERSONAL_PROJECTS  ,0,0,85,               NULL 
7413,1348009761, SIGNUP             ,0,0,68,               NULL 
8027,1348016479, GUEST_INVITE       ,0,0,1,10765
10790,1348019832, SIGNUP             ,0,0,220,               NULL 
3226,1348030539, SIGNUP             ,1,0,74,               NULL 
10314,1348032419, GUEST_INVITE       ,0,0,278,6074
6549,1348037389, ORG_INVITE         ,0,0,0,9134
10054,1348039912, ORG_INVITE         ,1,0,112,8939
1063,1348040515, ORG_INVITE         ,1,1,6,23
8371,1348040719, SIGNUP             ,0,0,79,               NULL 
5052,1348046417, PERSONAL_PROJECTS  ,0,0,317,               NULL 
11375,1348052825, GUEST_INVITE       ,0,0,12,7973
1932,1348063786, SIGNUP_GOOGLE_AUTH ,0,0,124,               NULL 
2688,1348072333, ORG_INVITE         ,0,0,296,7685
6372,1348105597, GUEST_INVITE       ,0,0,6,8503
11441,1348129525, PERSONAL_PROJECTS  ,0,0,97,               NULL 
6306,1348135329, SIGNUP             ,0,0,399,               NULL 
9420,1348138208, GUEST_INVITE       ,0,0,106,4976
10147,1348138599, ORG_INVITE         ,0,0,3,1747
4331,1348141920, GUEST_INVITE       ,0,0,52,4183
8972,1348147326, SIGNUP_GOOGLE_AUTH ,0,1,416,               NULL 
9561,1348148545, SIGNUP_GOOGLE_AUTH ,0,0,53,               NULL 
5579,1348150815, ORG_INVITE         ,0,0,216,11154
4690,1348151793, ORG_INVITE         ,0,1,114,6759
2523,1348153726, PERSONAL_PROJECTS  ,1,0,384,               NULL 
9657,1348155321, GUEST_INVITE       ,0,0,137,3987
11159,1348163187, GUEST_INVITE       ,1,0,255,1846
3567,1348166056, SIGNUP_GOOGLE_AUTH ,0,0,118,               NULL 
3356,1348169121, SIGNUP             ,0,0,219,               NULL 
9804,1348171388, GUEST_INVITE       ,0,0,355,4800
1105,1348172469, GUEST_INVITE       ,0,0,51,3876
5643,1348172664, ORG_INVITE         ,0,0,60,2279
4926,1348175193, PERSONAL_PROJECTS  ,0,0,290,               NULL 
6941,1348183186, SIGNUP             ,0,0,147,               NULL 
5533,1348195326, ORG_INVITE         ,0,0,254,10560
1090,1348219649, ORG_INVITE         ,0,0,203,7698
1859,1348226561, PERSONAL_PROJECTS  ,0,0,3,               NULL 
9224,1348230189, ORG_INVITE         ,0,0,94,1525
5521,1348235943, PERSONAL_PROJECTS  ,0,0,30,               NULL 
9356,1348248015, SIGNUP             ,0,1,1,               NULL 
10398,1348250671, GUEST_INVITE       ,0,0,117,3788
3322,1348260770, ORG_INVITE         ,0,0,49,5749
7467,1348262457, PERSONAL_PROJECTS  ,0,0,76,               NULL 
7366,1348266826, ORG_INVITE         ,1,0,162,11297
2685,1348268442, ORG_INVITE         ,0,0,5,6493
343,1348277250, ORG_INVITE         ,0,0,231,510
7209,1348278859, ORG_INVITE         ,1,1,77,2583
9380,1348284677, GUEST_INVITE       ,0,0,107,3257
11219,1348291240, ORG_INVITE         ,0,0,89,1274
9535,1348295212, GUEST_INVITE       ,0,0,345,7358
106,1348295677, PERSONAL_PROJECTS  ,0,0,83,               NULL 
3396,1348297744, ORG_INVITE         ,0,0,111,1305
10089,1348297787, PERSONAL_PROJECTS  ,0,0,157,               NULL 
6545,1348298582, SIGNUP_GOOGLE_AUTH ,0,0,0,               NULL 
9703,1348299333, PERSONAL_PROJECTS  ,1,0,22,               NULL 
4695,1348301610, ORG_INVITE         ,0,0,1,7704
1675,1348313731, SIGNUP             ,0,0,144,               NULL 
4514,1348313845, PERSONAL_PROJECTS  ,0,0,181,               NULL 
9653,1348337127, GUEST_INVITE       ,0,0,107,7676
7789,1348339844, ORG_INVITE         ,0,0,212,5910
10071,1348345944, ORG_INVITE         ,0,0,94,1525
11818,1348347467, GUEST_INVITE       ,0,1,48,10329
3289,1348350476, PERSONAL_PROJECTS  ,1,0,342,               NULL 
7600,1348358709, SIGNUP             ,1,0,210,               NULL 
6742,1348365932, ORG_INVITE         ,0,0,42,6143
7338,1348366367, SIGNUP             ,0,0,85,               NULL 
5650,1348367916, PERSONAL_PROJECTS  ,0,0,7,               NULL 
10462,1348377325, SIGNUP_GOOGLE_AUTH ,1,0,162,               NULL 
5910,1348383845, GUEST_INVITE       ,0,0,212,6195
1382,1348391021, GUEST_INVITE       ,0,0,33,1811
1399,1348394102, ORG_INVITE         ,0,0,1,7429
6682,1348397975, GUEST_INVITE       ,0,0,90,9862
11204,1348405608, ORG_INVITE         ,0,0,254,604
2333,1348422525, SIGNUP_GOOGLE_AUTH ,0,0,258,               NULL 
8194,1348437183, PERSONAL_PROJECTS  ,0,0,392,               NULL 
2703,1348439571, SIGNUP_GOOGLE_AUTH ,0,0,46,               NULL 
1708,1348443081, GUEST_INVITE       ,0,0,22,2504
8162,1348443858, ORG_INVITE         ,0,0,31,2267
119,1348448665, SIGNUP             ,0,0,184,               NULL 
1458,1348450126, SIGNUP             ,0,0,27,               NULL 
4142,1348451129, ORG_INVITE         ,0,0,8,4897
11032,1348454217, SIGNUP             ,1,0,91,               NULL 
1837,1348454834, PERSONAL_PROJECTS  ,0,1,176,               NULL 
1547,1348466114, SIGNUP             ,1,0,1,               NULL 
1019,1348467833, PERSONAL_PROJECTS  ,1,1,10,               NULL 
5055,1348476466, ORG_INVITE         ,0,0,61,50
10101,1348487630, PERSONAL_PROJECTS  ,0,0,361,               NULL 
2300,1348506115, SIGNUP             ,0,0,370,               NULL 
7431,1348508313, SIGNUP_GOOGLE_AUTH ,0,0,35,               NULL 
3868,1348510852, SIGNUP_GOOGLE_AUTH ,0,0,346,               NULL 
938,1348511383, ORG_INVITE         ,0,0,300,9497
7028,1348512959, ORG_INVITE         ,0,0,0,10609
645,1348519735, PERSONAL_PROJECTS  ,1,0,190,               NULL 
4585,1348520873, SIGNUP             ,0,0,408,               NULL 
1282,1348528134, ORG_INVITE         ,0,0,169,11447
